48:24.9,1,10,65.973,70.659,,,,,,,,,,,,,
48:25.3,2,1,130.581,139.591,,,,,,,,,,,,,
48:25.8,2,2,139.778,161.194,,,,,,,,,,,,,
48:26.2,2,3,129.954,135.783,,,,,,,,,,,,,
48:26.5,2,4,126.509,135.811,,,,,,,,,,,,,
48:26.9,2,5,126.212,139.911,,,,,,,,,,,,,
48:27.3,2,6,132.89,140.146,,,,,,,,,,,,,
48:27.8,2,7,149.188,138.401,,,,,,,,,,,,,
48:28.2,2,8,154.823,138.447,,,,,,,,,,,,,
48:28.6,2,9,126.285,135.334,,,,,,,,,,,,,
48:28.9,2,10,126.6,137.056,,,,,,,,,,,,,
48:29.8,3,1,262.807,259.194,,,,,,,,,,,,,
48:30.6,3,2,255.928,259.542,,,,,,,,,,,,,
48:31.3,3,3,236.715,260.908,,,,,,,,,,,,,
48:32.1,3,4,239.996,259.225,,,,,,,,,,,,,
48:32.9,3,5,250.975,275.81,,,,,,,,,,,,,
48:33.6,3,6,233.714,264.811,,,,,,,,,,,,,
48:34.3,3,7,232.82,259.293,,,,,,,,,,,,,
48:35.1,3,8,249.811,264.987,,,,,,,,,,,,,
48:35.8,3,9,236.552,265.279,,,,,,,,,,,,,
48:36.6,3,10,233.976,261.286,,,,,,,,,,,,,
48:38.4,4,1,498.387,519.248,,,,,,,,,,,,,
48:39.9,4,2,488.595,514.12,,,,,,,,,,,,,
48:41.4,4,3,444.526,541.117,,,,,,,,,,,,,
48:43.2,4,4,464.238,516.165,,,,,,,,,,,,,
48:44.8,4,5,499.052,541.8,,,,,,,,,,,,,
48:46.3,4,6,487.345,513.41,,,,,,,,,,,,,
48:47.7,4,7,441.473,533.928,,,,,,,,,,,,,
48:49.1,4,8,467.237,512.981,,,,,,,,,,,,,
48:50.7,4,9,477.265,546.187,,,,,,,,,,,,,
48:52.2,4,10,461.508,535.856,,,,,,,,,,,,,
48:56.2,5,1,1150.367,1015.794,,,,,,,,,,,,,
48:59.6,5,2,1040.346,1059.999,,,,,,,,,,,,,
49:02.7,5,3,947.202,1014.858,,,,,,,,,,,,,
49:06.1,5,4,959.618,1033.181,,,,,,,,,,,,,
49:09.2,5,5,940.531,1049.108,,,,,,,,,,,,,
49:12.6,5,6,950.317,1087.219,,,,,,,,,,,,,
49:16.3,5,7,1036.291,1020.448,,,,,,,,,,,,,
49:19.6,5,8,957.193,1055.301,,,,,,,,,,,,,
49:22.8,5,9,949.637,1069.291,,,,,,,,,,,,,
49:26.1,5,10,941.284,1116.867,,,,,,,,,,,,,
49:34.2,6,1,2170.407,2093.822,,,,,,,,,,,,,
49:41.5,6,2,2183.754,2048.716,,,,,,,,,,,,,
49:49.0,6,3,1981.726,2020.411,,,,,,,,,,,,,
49:55.9,6,4,1968.44,2039.72,,,,,,,,,,,,,
50:02.9,6,5,2042.863,2042.431,,,,,,,,,,,,,
50:10.4,6,6,1973.241,2057.085,,,,,,,,,,,,,
50:17.6,6,7,2059.181,2030.151,,,,,,,,,,,,,
50:24.6,6,8,2078.192,2012.749,,,,,,,,,,,,,
50:31.5,6,9,1894.591,2039.833,,,,,,,,,,,,,
50:39.2,6,10,2045.994,2023.129,,,,,,,,,,,,,
50:56.6,7,1,5016.6,4424.873,,,,,,,,,,,,,
51:12.2,7,2,4562.865,4641.33,,,,,,,,,,,,,
51:26.8,7,3,4056.343,4449.025,,,,,,,,,,,,,
51:43.2,7,4,4077.319,4159.819,,,,,,,,,,,,,
51:58.0,7,5,4151.02,4305.05,,,,,,,,,,,,,
52:14.3,7,6,4110.453,4246.761,,,,,,,,,,,,,
52:28.5,7,7,4280.029,4362.637,,,,,,,,,,,,,
52:43.7,7,8,4079.29,4158.22,,,,,,,,,,,,,
52:58.9,7,9,4207.533,4359.654,,,,,,,,,,,,,
53:14.0,7,10,4209.223,4215.514,,,,,,,,,,,,,
53:52.8,8,1,10629.302,9063.961,,,,,,,,,,,,,
54:31.5,8,2,10695.297,8930.316,,,,,,,,,,,,,
55:09.6,8,3,11128.15,8958.786,,,,,,,,,,,,,
55:48.0,8,4,10827.068,8809.071,,,,,,,,,,,,,
56:27.9,8,5,11012.246,8994.311,,,,,,,,,,,,,
57:06.1,8,6,10788.484,9003.969,,,,,,,,,,,,,
57:46.2,8,7,10910.922,9023.94,,,,,,,,,,,,,
58:24.0,8,8,11014.167,8835.856,,,,,,,,,,,,,
59:00.8,8,9,10363.987,8913.949,,,,,,,,,,,,,
59:41.7,8,10,10454.821,8976.926,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
AES with ECC + tinh thoi gian tao khoa (tính trong hàm file_encrypt and file_decrypt),,,,,,,,,,,,,,,,,
timestamp,file,iteration,encryption time,decryption time,,,,,,,,,,,,,
42:24.5,1,1,103.668,74.957,,,,,,,,,,,,,
42:24.7,1,2,74.071,76.786,,,,,,,,,,,,,
42:24.8,1,3,67.144,74.914,,,,,,,,,,,,,
42:25.0,1,4,68.096,76.528,,,,,,,,,,,,,
42:25.2,1,5,68.143,76.494,,,,,,,,,,,,,
42:25.4,1,6,67.868,77.855,,,,,,,,,,,,,
42:25.6,1,7,69.925,90.731,,,,,,,,,,,,,
42:25.8,1,8,72.299,81.828,,,,,,,,,,,,,
42:26.0,1,9,68.687,93.804,,,,,,,,,,,,,
42:26.2,1,10,68.421,89.645,,,,,,,,,,,,,
42:26.6,2,1,199.685,156.765,,,,,,,,,,,,,
42:27.0,2,2,150.749,148.441,,,,,,,,,,,,,
42:27.4,2,3,143.279,157.296,,,,,,,,,,,,,
42:27.8,2,4,140.911,157.896,,,,,,,,,,,,,
42:28.2,2,5,140.404,154.728,,,,,,,,,,,,,
42:28.5,2,6,138.273,152.745,,,,,,,,,,,,,
42:28.9,2,7,159.262,160.128,,,,,,,,,,,,,
42:29.3,2,8,135.68,157.821,,,,,,,,,,,,,
42:29.7,2,9,146.175,158.229,,,,,,,,,,,,,
42:30.1,2,10,132.52,164.827,,,,,,,,,,,,,
42:31.0,3,1,421.492,312.98,,,,,,,,,,,,,
42:31.7,3,2,279.057,295.842,,,,,,,,,,,,,
42:32.4,3,3,262.196,299.825,,,,,,,,,,,,,
42:33.2,3,4,274.123,302.358,,,,,,,,,,,,,
42:33.9,3,5,256.425,301.709,,,,,,,,,,,,,
42:34.6,3,6,264.588,291.353,,,,,,,,,,,,,
42:35.4,3,7,274.462,278.759,,,,,,,,,,,,,
42:36.0,3,8,250.191,279.136,,,,,,,,,,,,,
42:36.7,3,9,249.072,278.516,,,,,,,,,,,,,
42:37.5,3,10,278.841,284.663,,,,,,,,,,,,,
42:39.3,4,1,816.03,587.462,,,,,,,,,,,,,
42:41.0,4,2,561.825,543.464,,,,,,,,,,,,,
42:42.3,4,3,516.137,544.908,,,,,,,,,,,,,
42:43.9,4,4,484.222,603.819,,,,,,,,,,,,,
42:45.7,4,5,509.129,555.506,,,,,,,,,,,,,
42:47.6,4,6,525.217,572.99,,,,,,,,,,,,,
42:49.0,4,7,537.476,607.456,,,,,,,,,,,,,
42:50.4,4,8,482.8,579.141,,,,,,,,,,,,,
42:51.8,4,9,504.991,545.576,,,,,,,,,,,,,
42:53.1,4,10,504.798,542.208,,,,,,,,,,,,,
42:57.4,5,1,1833.267,1092.383,,,,,,,,,,,,,
43:00.6,5,2,1085.61,1214.484,,,,,,,,,,,,,
43:03.5,5,3,1031.405,1072.431,,,,,,,,,,,,,
43:07.0,5,4,1079.8,1174.782,,,,,,,,,,,,,
43:09.9,5,5,1011.206,1086.199,,,,,,,,,,,,,
43:13.1,5,6,1071.257,1228.756,,,,,,,,,,,,,
