CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.097656 1659347808.9886
MEM 20.667969 1659347809.0889
MEM 20.667969 1659347809.1891
MEM 20.667969 1659347809.2895
MEM 20.667969 1659347809.3897
MEM 101.859375 1659347809.4900
MEM 276.472656 1659347809.5905
MEM 276.472656 1659347809.6908
MEM 276.472656 1659347809.7911
MEM 148.675781 1659347809.8915
MEM 20.671875 1659347809.9919
MEM 20.671875 1659347810.0922
MEM 20.671875 1659347810.1925
MEM 20.671875 1659347810.2928
MEM 276.484375 1659347810.3932
MEM 276.484375 1659347810.4936
MEM 357.878906 1659347810.5939
MEM 148.675781 1659347810.6943
MEM 20.671875 1659347810.7949
MEM 20.671875 1659347810.8953
MEM 20.671875 1659347810.9956
MEM 123.863281 1659347811.0960
MEM 276.488281 1659347811.1963
MEM 276.488281 1659347811.2967
MEM 148.675781 1659347811.3970
MEM 20.671875 1659347811.4974
MEM 20.671875 1659347811.5978
MEM 20.671875 1659347811.6981
MEM 20.671875 1659347811.7984
MEM 276.488281 1659347811.8987
MEM 276.488281 1659347811.9990
MEM 315.777344 1659347812.0994
MEM 148.675781 1659347812.1998
MEM 20.671875 1659347812.3001
MEM 20.671875 1659347812.4004
MEM 20.671875 1659347812.5007
MEM 223.761719 1659347812.6010
MEM 276.488281 1659347812.7013
MEM 276.488281 1659347812.8017
MEM 148.675781 1659347812.9021
MEM 20.671875 1659347813.0025
MEM 20.671875 1659347813.1029
MEM 20.671875 1659347813.2032
MEM 37.699219 1659347813.3036
MEM 276.484375 1659347813.4039
MEM 276.484375 1659347813.5042
MEM 148.675781 1659347813.6045
MEM 20.671875 1659347813.7049
MEM 20.671875 1659347813.8052
MEM 20.671875 1659347813.9054
MEM 20.671875 1659347814.0056
MEM 276.480469 1659347814.1060
MEM 276.480469 1659347814.2063
MEM 276.480469 1659347814.3067
MEM 148.675781 1659347814.4071
MEM 20.671875 1659347814.5074
MEM 20.671875 1659347814.6077
MEM 20.671875 1659347814.7080
MEM 189.773438 1659347814.8083
MEM 276.484375 1659347814.9086
MEM 276.484375 1659347815.0089
MEM 148.675781 1659347815.1092
MEM 20.671875 1659347815.2096
MEM 20.671875 1659347815.3099
MEM 20.671875 1659347815.4101
MEM 20.671875 1659347815.5104
MEM 276.488281 1659347815.6107
MEM 276.488281 1659347815.7110
MEM 315.449219 1659347815.8113
MEM 20.671875 1659347815.9116
MEM 20.671875 1659347816.0119
MEM 20.671875 1659347816.1122
MEM 20.671875 1659347816.2125
MEM 276.488281 1659347816.3128
MEM 276.488281 1659347816.4131
MEM 276.488281 1659347816.5134
MEM 148.675781 1659347816.6137
