CMDLINE /usr/bin/python3 test_aes_ecdh.py
MEM 1.105469 1659418142.0560
MEM 34.687500 1659418142.1563
MEM 110.597656 1659418142.2566
MEM 382.585938 1659418142.3571
MEM 420.402344 1659418142.4574
MEM 506.621094 1659418142.5577
MEM 292.519531 1659418142.6580
MEM 420.511719 1659418142.7584
MEM 420.511719 1659418142.8587
MEM 547.296875 1659418142.9590
MEM 292.519531 1659418143.0593
MEM 420.503906 1659418143.1597
MEM 420.503906 1659418143.2600
MEM 220.523438 1659418143.3605
MEM 88.554688 1659418143.4610
MEM 420.507812 1659418143.5614
MEM 420.507812 1659418143.6618
MEM 270.523438 1659418143.7622
MEM 126.554688 1659418143.8627
MEM 420.507812 1659418143.9630
MEM 420.507812 1659418144.0633
MEM 292.523438 1659418144.1637
MEM 238.609375 1659418144.2646
MEM 420.507812 1659418144.3649
MEM 422.507812 1659418144.4653
MEM 292.523438 1659418144.5657
MEM 420.507812 1659418144.6660
MEM 420.507812 1659418144.7663
MEM 534.625000 1659418144.8666
MEM 292.523438 1659418144.9671
MEM 420.507812 1659418145.0674
MEM 420.507812 1659418145.1677
MEM 292.523438 1659418145.2681
MEM 156.601562 1659418145.3685
MEM 420.507812 1659418145.4689
MEM 420.507812 1659418145.5692
MEM 292.527344 1659418145.6696
MEM 350.617188 1659418145.7700
MEM 420.511719 1659418145.8703
MEM 476.511719 1659418145.9707
MEM 292.527344 1659418146.0710
