CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.171875 1659345495.6346
MEM 31.671875 1659345495.7349
MEM 37.421875 1659345495.8353
MEM 37.421875 1659345495.9356
MEM 37.421875 1659345496.0358
MEM 84.355469 1659345496.1362
MEM 176.355469 1659345496.2365
MEM 270.355469 1659345496.3369
MEM 364.355469 1659345496.4373
MEM 458.355469 1659345496.5376
MEM 562.132812 1659345496.6379
MEM 980.363281 1659345496.7383
MEM 1558.367188 1659345496.8387
MEM 1573.292969 1659345496.9390
MEM 1573.292969 1659345497.0394
MEM 1573.292969 1659345497.1397
MEM 1573.292969 1659345497.2401
MEM 1573.292969 1659345497.3404
MEM 1573.292969 1659345497.4408
MEM 1573.292969 1659345497.5411
MEM 1573.292969 1659345497.6414
MEM 1732.378906 1659345497.7418
MEM 640.445312 1659345497.8421
MEM 1061.253906 1659345497.9425
MEM 1061.253906 1659345498.0430
MEM 1061.253906 1659345498.1434
MEM 37.425781 1659345498.2438
MEM 37.425781 1659345498.3441
MEM 37.425781 1659345498.4444
MEM 37.425781 1659345498.5446
MEM 460.363281 1659345498.6450
MEM 1224.375000 1659345498.7455
MEM 1573.183594 1659345498.8458
MEM 1573.183594 1659345498.9461
MEM 1573.183594 1659345499.0465
MEM 1573.183594 1659345499.1468
MEM 1573.183594 1659345499.2471
MEM 1573.183594 1659345499.3474
MEM 1573.183594 1659345499.4477
MEM 1573.183594 1659345499.5479
MEM 1782.386719 1659345499.6483
MEM 686.511719 1659345499.7487
MEM 1061.269531 1659345499.8491
MEM 1061.269531 1659345499.9494
MEM 1061.269531 1659345500.0498
MEM 1061.269531 1659345500.1501
MEM 37.429688 1659345500.2504
MEM 37.429688 1659345500.3507
MEM 37.429688 1659345500.4510
MEM 37.429688 1659345500.5513
MEM 510.363281 1659345500.6517
MEM 1370.375000 1659345500.7523
MEM 1573.203125 1659345500.8526
MEM 1573.203125 1659345500.9529
MEM 1573.203125 1659345501.0533
MEM 1573.203125 1659345501.1536
MEM 1573.203125 1659345501.2538
MEM 1573.203125 1659345501.3542
MEM 1573.203125 1659345501.4545
MEM 1573.203125 1659345501.5547
MEM 2006.386719 1659345501.6551
MEM 958.511719 1659345501.7557
MEM 1061.269531 1659345501.8561
MEM 1061.269531 1659345501.9564
MEM 1061.269531 1659345502.0569
MEM 1061.269531 1659345502.1572
MEM 1061.269531 1659345502.2575
MEM 37.429688 1659345502.3578
MEM 37.429688 1659345502.4582
MEM 37.429688 1659345502.5585
MEM 330.363281 1659345502.6589
MEM 1016.371094 1659345502.7592
MEM 1573.203125 1659345502.8595
MEM 1573.203125 1659345502.9599
MEM 1573.203125 1659345503.0602
MEM 1573.203125 1659345503.1605
MEM 1573.203125 1659345503.2607
MEM 1573.203125 1659345503.3610
MEM 1573.203125 1659345503.4613
