CMDLINE /usr/bin/python3 test_aes_ecdh.py
MEM 1.097656 1659420394.6248
MEM 32.148438 1659420394.7250
MEM 99.699219 1659420394.8254
MEM 205.699219 1659420394.9257
MEM 319.699219 1659420395.0260
MEM 433.699219 1659420395.1263
MEM 535.699219 1659420395.2268
MEM 637.699219 1659420395.3272
MEM 783.699219 1659420395.4275
MEM 995.699219 1659420395.5279
MEM 1157.699219 1659420395.6282
MEM 1541.699219 1659420395.7286
MEM 1889.699219 1659420395.8290
MEM 2047.699219 1659420395.9293
MEM 2149.699219 1659420396.0297
MEM 2243.699219 1659420396.1300
MEM 2341.699219 1659420396.2303
MEM 2441.699219 1659420396.3307
MEM 2541.699219 1659420396.4311
MEM 2645.699219 1659420396.5314
MEM 2749.699219 1659420396.6318
MEM 3029.699219 1659420396.7322
MEM 3427.699219 1659420396.8326
MEM 3815.699219 1659420396.9329
MEM 4211.707031 1659420397.0333
MEM 4647.707031 1659420397.1336
MEM 4911.089844 1659420397.2340
MEM 5164.777344 1659420397.3343
MEM 5428.777344 1659420397.4346
MEM 5695.097656 1659420397.5350
MEM 5959.097656 1659420397.6353
MEM 6225.675781 1659420397.7357
MEM 6488.902344 1659420397.8360
MEM 6756.511719 1659420397.9363
MEM 7019.222656 1659420398.0367
MEM 7280.644531 1659420398.1370
MEM 7558.859375 1659420398.2374
MEM 7823.566406 1659420398.3377
MEM 8084.656250 1659420398.4381
MEM 4659.699219 1659420398.5386
MEM 6115.699219 1659420398.6390
MEM 7595.699219 1659420398.7395
MEM 8227.976562 1659420398.8399
MEM 8227.976562 1659420398.9402
MEM 8227.976562 1659420399.0405
MEM 8227.976562 1659420399.1409
MEM 8227.976562 1659420399.2412
MEM 8227.976562 1659420399.3415
MEM 8227.976562 1659420399.4418
MEM 8227.976562 1659420399.5421
MEM 8227.976562 1659420399.6424
MEM 8227.976562 1659420399.7428
MEM 8227.976562 1659420399.8431
MEM 8227.976562 1659420399.9434
MEM 8227.976562 1659420400.0438
MEM 8227.976562 1659420400.1441
MEM 8227.976562 1659420400.2444
MEM 8227.976562 1659420400.3447
MEM 8227.976562 1659420400.4450
MEM 8227.976562 1659420400.5453
MEM 8227.976562 1659420400.6456
MEM 8227.976562 1659420400.7459
MEM 8227.976562 1659420400.8462
MEM 8227.976562 1659420400.9466
MEM 8227.976562 1659420401.0470
MEM 8227.976562 1659420401.1474
MEM 8227.976562 1659420401.2476
MEM 8227.976562 1659420401.3480
MEM 8227.976562 1659420401.4484
MEM 8227.976562 1659420401.5487
MEM 8227.976562 1659420401.6490
MEM 8227.976562 1659420401.7493
MEM 8227.976562 1659420401.8497
MEM 8227.976562 1659420401.9500
MEM 8227.976562 1659420402.0503
MEM 8227.976562 1659420402.1506
MEM 8227.976562 1659420402.2509
MEM 8227.976562 1659420402.3513
MEM 8227.976562 1659420402.4516
MEM 8227.976562 1659420402.5519
MEM 8227.976562 1659420402.6522
MEM 8227.976562 1659420402.7525
MEM 8227.976562 1659420402.8529
MEM 8227.976562 1659420402.9532
MEM 8227.976562 1659420403.0536
MEM 8227.976562 1659420403.1539
MEM 8227.976562 1659420403.2543
MEM 8227.976562 1659420403.3546
MEM 8227.976562 1659420403.4549
MEM 8227.976562 1659420403.5552
MEM 8227.976562 1659420403.6555
MEM 8227.976562 1659420403.7558
MEM 8227.976562 1659420403.8562
MEM 8227.976562 1659420403.9565
MEM 8227.976562 1659420404.0568
MEM 8227.976562 1659420404.1571
MEM 8227.976562 1659420404.2575
MEM 8227.976562 1659420404.3578
MEM 8227.976562 1659420404.4581
MEM 8227.976562 1659420404.5584
MEM 8227.976562 1659420404.6587
MEM 8467.976562 1659420404.7590
MEM 8720.375000 1659420404.8594
MEM 8969.550781 1659420404.9597
MEM 9222.207031 1659420405.0601
MEM 9471.253906 1659420405.1604
MEM 9726.488281 1659420405.2607
MEM 9981.722656 1659420405.3611
MEM 10221.488281 1659420405.4614
MEM 10468.562500 1659420405.5617
MEM 10720.058594 1659420405.6621
MEM 10966.144531 1659420405.7625
MEM 11204.054688 1659420405.8629
MEM 11409.804688 1659420405.9632
MEM 11645.445312 1659420406.0635
MEM 11797.656250 1659420406.1639
MEM 11908.273438 1659420406.2642
MEM 12015.648438 1659420406.3646
MEM 8313.832031 1659420406.4649
MEM 8991.832031 1659420406.5653
MEM 9681.832031 1659420406.6656
MEM 10381.832031 1659420406.7660
MEM 11071.832031 1659420406.8663
MEM 11755.832031 1659420406.9667
MEM 11116.527344 1659420407.0670
MEM 7161.664062 1659420407.1674
MEM 4112.417969 1659420407.2677
MEM 4112.417969 1659420407.3680
MEM 4112.417969 1659420407.4684
MEM 4112.417969 1659420407.5687
MEM 4112.417969 1659420407.6690
MEM 4112.417969 1659420407.7694
MEM 4112.417969 1659420407.8698
MEM 4112.417969 1659420407.9702
MEM 4112.417969 1659420408.0705
MEM 4112.417969 1659420408.1708
MEM 4112.417969 1659420408.2712
MEM 4112.417969 1659420408.3715
MEM 4112.417969 1659420408.4718
MEM 4112.417969 1659420408.5722
MEM 4112.417969 1659420408.6725
MEM 4112.417969 1659420408.7729
MEM 4112.417969 1659420408.8732
MEM 4112.417969 1659420408.9735
MEM 4112.417969 1659420409.0739
MEM 4112.417969 1659420409.1742
MEM 4112.417969 1659420409.2745
MEM 4112.417969 1659420409.3749
MEM 4112.417969 1659420409.4752
MEM 4112.417969 1659420409.5755
MEM 4112.417969 1659420409.6759
MEM 4112.417969 1659420409.7762
MEM 4112.417969 1659420409.8766
MEM 4112.417969 1659420409.9770
MEM 4112.417969 1659420410.0778
MEM 4112.417969 1659420410.1782
MEM 4112.417969 1659420410.2785
MEM 4112.417969 1659420410.3788
MEM 4112.417969 1659420410.4792
MEM 4112.417969 1659420410.5795
MEM 4112.417969 1659420410.6798
MEM 4112.417969 1659420410.7802
MEM 4112.417969 1659420410.8805
MEM 4112.417969 1659420410.9808
MEM 4112.417969 1659420411.0811
MEM 4112.417969 1659420411.1815
MEM 4112.417969 1659420411.2820
MEM 4112.417969 1659420411.3825
MEM 4112.417969 1659420411.4829
MEM 4112.417969 1659420411.5832
MEM 4112.417969 1659420411.6837
MEM 4112.417969 1659420411.7841
MEM 4112.417969 1659420411.8846
MEM 16.949219 1659420411.9849
MEM 73.085938 1659420412.0853
MEM 195.140625 1659420412.1857
MEM 321.140625 1659420412.2860
MEM 453.140625 1659420412.3863
MEM 587.140625 1659420412.4867
MEM 723.140625 1659420412.5870
MEM 859.140625 1659420412.6874
MEM 961.140625 1659420412.7877
MEM 1093.140625 1659420412.8880
MEM 1213.140625 1659420412.9883
MEM 1333.140625 1659420413.0886
MEM 1461.140625 1659420413.1890
MEM 1589.140625 1659420413.2893
MEM 1729.140625 1659420413.3897
MEM 1865.140625 1659420413.4901
MEM 2015.140625 1659420413.5904
MEM 2155.140625 1659420413.6908
MEM 2269.140625 1659420413.7911
MEM 2365.140625 1659420413.8914
MEM 2455.140625 1659420413.9917
MEM 2543.140625 1659420414.0921
MEM 2627.140625 1659420414.1925
MEM 2737.140625 1659420414.2928
MEM 2865.140625 1659420414.3931
MEM 2987.140625 1659420414.4935
MEM 3083.140625 1659420414.5939
MEM 3241.140625 1659420414.6942
MEM 3369.140625 1659420414.7946
MEM 3487.140625 1659420414.8949
MEM 3591.140625 1659420414.9953
MEM 3707.140625 1659420415.0957
MEM 3789.140625 1659420415.1960
MEM 3901.140625 1659420415.2963
MEM 4001.140625 1659420415.3967
MEM 4093.140625 1659420415.4970
MEM 4387.148438 1659420415.5974
MEM 4711.039062 1659420415.6979
MEM 4962.839844 1659420415.7983
MEM 5205.699219 1659420415.8986
MEM 5466.347656 1659420415.9989
MEM 5727.511719 1659420416.0993
MEM 5990.996094 1659420416.1996
MEM 6254.222656 1659420416.2999
MEM 6521.574219 1659420416.4002
MEM 6794.339844 1659420416.5006
MEM 7062.464844 1659420416.6009
MEM 7330.847656 1659420416.7012
MEM 7600.261719 1659420416.8015
MEM 7872.253906 1659420416.9019
MEM 8126.199219 1659420417.0022
MEM 4899.183594 1659420417.1026
MEM 6343.183594 1659420417.2030
MEM 7765.183594 1659420417.3035
MEM 8209.460938 1659420417.4038
MEM 8209.460938 1659420417.5042
MEM 8209.460938 1659420417.6045
MEM 8209.460938 1659420417.7048
MEM 8209.460938 1659420417.8051
MEM 8209.460938 1659420417.9054
MEM 8209.460938 1659420418.0057
MEM 8209.460938 1659420418.1061
MEM 8209.460938 1659420418.2064
MEM 8209.460938 1659420418.3067
MEM 8209.460938 1659420418.4070
MEM 8209.460938 1659420418.5073
MEM 8209.460938 1659420418.6076
MEM 8209.460938 1659420418.7079
MEM 8209.460938 1659420418.8082
MEM 8209.460938 1659420418.9085
MEM 8209.460938 1659420419.0088
MEM 8209.460938 1659420419.1091
MEM 8209.460938 1659420419.2094
MEM 8209.460938 1659420419.3097
MEM 8209.460938 1659420419.4100
MEM 8209.460938 1659420419.5103
MEM 8209.460938 1659420419.6106
MEM 8209.460938 1659420419.7109
MEM 8209.460938 1659420419.8112
MEM 8209.460938 1659420419.9115
MEM 8209.460938 1659420420.0119
MEM 8209.460938 1659420420.1122
MEM 8209.460938 1659420420.2126
MEM 8209.460938 1659420420.3129
MEM 8209.460938 1659420420.4132
MEM 8209.460938 1659420420.5135
MEM 8209.460938 1659420420.6138
MEM 8209.460938 1659420420.7141
MEM 8209.460938 1659420420.8145
MEM 8209.460938 1659420420.9148
MEM 8209.460938 1659420421.0151
MEM 8209.460938 1659420421.1154
MEM 8209.460938 1659420421.2157
MEM 8209.460938 1659420421.3161
MEM 8209.460938 1659420421.4164
MEM 8209.460938 1659420421.5167
MEM 8209.460938 1659420421.6170
MEM 8209.460938 1659420421.7173
MEM 8209.460938 1659420421.8176
MEM 8209.460938 1659420421.9179
MEM 8209.460938 1659420422.0182
MEM 8209.460938 1659420422.1185
MEM 8209.460938 1659420422.2188
MEM 8209.460938 1659420422.3192
MEM 8209.460938 1659420422.4195
MEM 8209.460938 1659420422.5199
MEM 8209.460938 1659420422.6202
MEM 8209.460938 1659420422.7205
MEM 8209.460938 1659420422.8208
MEM 8209.460938 1659420422.9211
MEM 8209.460938 1659420423.0215
MEM 8209.460938 1659420423.1218
MEM 8209.460938 1659420423.2221
MEM 8395.601562 1659420423.3224
MEM 8663.210938 1659420423.4228
MEM 8933.398438 1659420423.5231
MEM 9198.945312 1659420423.6234
MEM 9468.359375 1659420423.7238
MEM 9737.000000 1659420423.8241
MEM 10002.156250 1659420423.9244
MEM 10265.574219 1659420424.0248
MEM 10531.570312 1659420424.1251
MEM 10791.703125 1659420424.2254
MEM 11046.222656 1659420424.3258
MEM 11299.519531 1659420424.4261
MEM 11563.933594 1659420424.5264
MEM 11829.988281 1659420424.6267
MEM 12088.308594 1659420424.7272
MEM 8227.937500 1659420424.8275
MEM 8909.984375 1659420424.9279
MEM 9575.984375 1659420425.0282
MEM 10251.984375 1659420425.1286
MEM 10923.984375 1659420425.2289
MEM 11441.984375 1659420425.3295
MEM 11847.984375 1659420425.4298
MEM 12255.984375 1659420425.5302
MEM 8766.628906 1659420425.6305
MEM 4549.972656 1659420425.7308
MEM 4111.695312 1659420425.8312
MEM 4111.695312 1659420425.9316
MEM 4111.695312 1659420426.0319
MEM 4111.695312 1659420426.1323
MEM 4111.695312 1659420426.2326
MEM 4111.695312 1659420426.3330
MEM 4111.695312 1659420426.4334
MEM 4111.695312 1659420426.5337
MEM 4111.695312 1659420426.6340
MEM 4111.695312 1659420426.7344
MEM 4111.695312 1659420426.8347
MEM 4111.695312 1659420426.9351
MEM 4111.695312 1659420427.0354
MEM 4111.695312 1659420427.1358
MEM 4111.695312 1659420427.2361
MEM 4111.695312 1659420427.3365
MEM 4111.695312 1659420427.4368
MEM 4111.695312 1659420427.5372
MEM 4111.695312 1659420427.6375
MEM 4111.695312 1659420427.7379
MEM 4111.695312 1659420427.8382
MEM 4111.695312 1659420427.9385
MEM 4111.695312 1659420428.0389
MEM 4111.695312 1659420428.1393
MEM 4111.695312 1659420428.2396
MEM 4111.695312 1659420428.3399
MEM 4111.695312 1659420428.4402
MEM 4111.695312 1659420428.5406
MEM 4111.695312 1659420428.6409
MEM 4111.695312 1659420428.7412
MEM 15.722656 1659420428.8416
MEM 15.722656 1659420428.9423
MEM 15.722656 1659420429.0431
MEM 67.484375 1659420429.1435
MEM 139.484375 1659420429.2440
MEM 215.484375 1659420429.3443
MEM 291.484375 1659420429.4447
MEM 363.484375 1659420429.5452
