CMDLINE /usr/bin/python3 test_aes_ecdh.py
MEM 1.167969 1659419267.8980
MEM 26.386719 1659419267.9983
MEM 35.164062 1659419268.0986
MEM 99.316406 1659419268.1990
MEM 99.351562 1659419268.2993
MEM 99.351562 1659419268.3996
MEM 99.351562 1659419268.5000
MEM 99.351562 1659419268.6007
MEM 99.351562 1659419268.7012
MEM 99.351562 1659419268.8016
MEM 99.351562 1659419268.9021
MEM 67.359375 1659419269.0026
MEM 84.617188 1659419269.1032
MEM 40.382812 1659419269.2036
MEM 163.292969 1659419269.3040
MEM 184.121094 1659419269.4044
MEM 163.289062 1659419269.5047
MEM 174.121094 1659419269.6051
MEM 163.289062 1659419269.7059
MEM 200.121094 1659419269.8063
MEM 163.289062 1659419269.9066
MEM 226.125000 1659419270.0070
MEM 163.296875 1659419270.1074
MEM 220.585938 1659419270.2077
MEM 163.296875 1659419270.3081
MEM 188.125000 1659419270.4084
MEM 163.296875 1659419270.5089
MEM 188.585938 1659419270.6092
MEM 163.296875 1659419270.7097
MEM 216.585938 1659419270.8100
MEM 163.304688 1659419270.9104
MEM 192.128906 1659419271.0107
MEM 163.300781 1659419271.1110
MEM 212.128906 1659419271.2114
MEM 72.617188 1659419271.3118
MEM 160.617188 1659419271.4122
MEM 291.175781 1659419271.5125
MEM 291.175781 1659419271.6129
MEM 163.367188 1659419271.7133
MEM 228.625000 1659419271.8137
MEM 291.171875 1659419271.9141
MEM 291.171875 1659419272.0144
MEM 163.367188 1659419272.1148
MEM 280.625000 1659419272.2157
MEM 291.175781 1659419272.3161
MEM 291.175781 1659419272.4164
MEM 163.367188 1659419272.5168
MEM 272.625000 1659419272.6172
MEM 291.175781 1659419272.7176
MEM 291.175781 1659419272.8179
MEM 163.367188 1659419272.9182
MEM 248.621094 1659419273.0188
MEM 291.175781 1659419273.1191
MEM 291.175781 1659419273.2194
MEM 163.371094 1659419273.3197
MEM 291.183594 1659419273.4201
MEM 291.183594 1659419273.5205
MEM 293.886719 1659419273.6208
MEM 35.367188 1659419273.7212
MEM 291.183594 1659419273.8215
MEM 291.183594 1659419273.9218
MEM 354.132812 1659419274.0222
MEM 94.621094 1659419274.1229
MEM 291.171875 1659419274.2233
MEM 291.171875 1659419274.3237
MEM 163.375000 1659419274.4240
MEM 108.625000 1659419274.5244
MEM 291.187500 1659419274.6248
MEM 291.187500 1659419274.7251
MEM 163.375000 1659419274.8254
MEM 144.625000 1659419274.9260
MEM 291.187500 1659419275.0263
MEM 291.187500 1659419275.1266
