CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.113281 1659348014.2301
MEM 20.507812 1659348014.3304
MEM 20.507812 1659348014.4307
MEM 20.507812 1659348014.5310
MEM 20.507812 1659348014.6313
MEM 110.105469 1659348014.7317
MEM 198.105469 1659348014.8320
MEM 290.105469 1659348014.9324
MEM 376.105469 1659348015.0327
MEM 462.105469 1659348015.1331
MEM 550.105469 1659348015.2334
MEM 636.105469 1659348015.3337
MEM 732.105469 1659348015.4341
MEM 826.105469 1659348015.5345
MEM 922.105469 1659348015.6349
MEM 1014.105469 1659348015.7352
MEM 1334.113281 1659348015.8356
MEM 1758.113281 1659348015.9360
MEM 1396.105469 1659348016.0364
MEM 2068.367188 1659348016.1368
MEM 2068.367188 1659348016.2371
MEM 2068.367188 1659348016.3374
MEM 2068.367188 1659348016.4377
MEM 2068.367188 1659348016.5380
MEM 2068.367188 1659348016.6383
MEM 2068.367188 1659348016.7386
MEM 2068.367188 1659348016.8389
MEM 2068.367188 1659348016.9392
MEM 2068.367188 1659348017.0396
MEM 2068.367188 1659348017.1399
MEM 2068.367188 1659348017.2402
MEM 2068.367188 1659348017.3405
MEM 2068.367188 1659348017.4409
MEM 2068.367188 1659348017.5412
MEM 2068.367188 1659348017.6415
MEM 2068.367188 1659348017.7418
MEM 2068.367188 1659348017.8421
MEM 2500.121094 1659348017.9425
MEM 2952.121094 1659348018.0428
MEM 2530.929688 1659348018.1432
MEM 1044.511719 1659348018.2435
MEM 1044.511719 1659348018.3439
MEM 1044.511719 1659348018.4442
MEM 1044.511719 1659348018.5445
MEM 1044.511719 1659348018.6449
MEM 1044.511719 1659348018.7453
MEM 1044.511719 1659348018.8460
MEM 1044.511719 1659348018.9464
MEM 1044.511719 1659348019.0467
MEM 20.507812 1659348019.1470
MEM 20.507812 1659348019.2474
MEM 20.507812 1659348019.3478
MEM 134.105469 1659348019.4482
MEM 710.105469 1659348019.5486
MEM 1346.113281 1659348019.6490
MEM 1942.113281 1659348019.7493
MEM 2054.105469 1659348019.8497
MEM 2068.375000 1659348019.9501
MEM 2068.375000 1659348020.0504
MEM 2068.375000 1659348020.1507
MEM 2068.375000 1659348020.2510
MEM 2068.375000 1659348020.3513
MEM 2068.375000 1659348020.4516
MEM 2068.375000 1659348020.5519
MEM 2068.375000 1659348020.6522
MEM 2068.375000 1659348020.7525
MEM 2068.375000 1659348020.8527
MEM 2068.375000 1659348020.9530
MEM 2068.375000 1659348021.0533
MEM 2068.375000 1659348021.1536
MEM 2068.375000 1659348021.2539
MEM 2068.375000 1659348021.3543
MEM 2068.375000 1659348021.4546
MEM 2068.375000 1659348021.5549
MEM 2506.121094 1659348021.6552
MEM 2964.121094 1659348021.7556
MEM 2554.929688 1659348021.8559
MEM 1044.511719 1659348021.9564
MEM 1044.511719 1659348022.0568
MEM 1044.511719 1659348022.1571
MEM 1044.511719 1659348022.2575
MEM 1044.511719 1659348022.3578
MEM 1044.511719 1659348022.4583
MEM 1044.511719 1659348022.5591
MEM 1044.511719 1659348022.6595
MEM 1044.511719 1659348022.7598
MEM 1044.511719 1659348022.8601
MEM 1044.511719 1659348022.9604
MEM 1044.511719 1659348023.0607
MEM 1044.511719 1659348023.1611
MEM 20.507812 1659348023.2615
MEM 20.507812 1659348023.3618
MEM 20.507812 1659348023.4621
MEM 90.050781 1659348023.5625
MEM 746.105469 1659348023.6630
MEM 1418.113281 1659348023.7634
MEM 2016.113281 1659348023.8637
MEM 2068.378906 1659348023.9641
MEM 2068.378906 1659348024.0644
MEM 2068.378906 1659348024.1647
MEM 2068.378906 1659348024.2650
MEM 2068.378906 1659348024.3654
MEM 2068.378906 1659348024.4657
MEM 2068.378906 1659348024.5661
MEM 2068.378906 1659348024.6664
MEM 2068.378906 1659348024.7668
MEM 2068.378906 1659348024.8671
MEM 2068.378906 1659348024.9674
MEM 2068.378906 1659348025.0677
MEM 2068.378906 1659348025.1681
MEM 2068.378906 1659348025.2684
MEM 2068.378906 1659348025.3687
MEM 2068.378906 1659348025.4690
MEM 2068.378906 1659348025.5692
MEM 2068.378906 1659348025.6695
MEM 2494.121094 1659348025.7699
MEM 3048.121094 1659348025.8703
MEM 2608.929688 1659348025.9707
MEM 1044.511719 1659348026.0710
MEM 1044.511719 1659348026.1713
MEM 1044.511719 1659348026.2716
MEM 1044.511719 1659348026.3720
MEM 1044.511719 1659348026.4723
MEM 1044.511719 1659348026.5727
MEM 1044.511719 1659348026.6730
MEM 1044.511719 1659348026.7734
MEM 1044.511719 1659348026.8742
MEM 1044.511719 1659348026.9750
