CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.109375 1659344880.9436
MEM 29.593750 1659344881.0439
MEM 35.988281 1659344881.1442
MEM 35.988281 1659344881.2444
MEM 35.988281 1659344881.3448
MEM 66.164062 1659344881.4451
MEM 99.980469 1659344881.5455
MEM 35.992188 1659344881.6459
MEM 35.992188 1659344881.7462
MEM 35.992188 1659344881.8465
MEM 131.984375 1659344881.9469
MEM 35.992188 1659344882.0472
MEM 35.992188 1659344882.1475
MEM 35.992188 1659344882.2478
MEM 43.992188 1659344882.3482
MEM 35.992188 1659344882.4486
MEM 35.992188 1659344882.5490
MEM 35.992188 1659344882.6493
MEM 35.992188 1659344882.7495
MEM 132.000000 1659344882.8498
MEM 35.992188 1659344882.9502
MEM 35.992188 1659344883.0505
MEM 35.992188 1659344883.1507
MEM 35.992188 1659344883.2510
MEM 35.992188 1659344883.3514
MEM 35.992188 1659344883.4517
MEM 35.992188 1659344883.5520
MEM 35.992188 1659344883.6522
MEM 132.000000 1659344883.7525
MEM 35.992188 1659344883.8528
MEM 35.992188 1659344883.9532
MEM 35.992188 1659344884.0534
MEM 71.992188 1659344884.1538
MEM 35.992188 1659344884.2543
MEM 35.992188 1659344884.3546
MEM 35.992188 1659344884.4549
MEM 35.992188 1659344884.5551
MEM 131.992188 1659344884.6554
MEM 35.992188 1659344884.7558
MEM 35.992188 1659344884.8561
MEM 35.992188 1659344884.9564
MEM 131.992188 1659344885.0568
MEM 36.000000 1659344885.1574
MEM 36.000000 1659344885.2577
MEM 36.000000 1659344885.3580
MEM 36.000000 1659344885.4583
MEM 132.007812 1659344885.5586
