CMDLINE /usr/bin/python3 test_aes_ecdh.py
MEM 1.109375 1659418063.1812
MEM 35.359375 1659418063.2815
MEM 155.531250 1659418063.3819
MEM 228.910156 1659418063.4822
MEM 135.378906 1659418063.5827
MEM 228.746094 1659418063.6830
MEM 93.453125 1659418063.7835
MEM 228.753906 1659418063.8839
MEM 115.390625 1659418063.9844
MEM 228.757812 1659418064.0847
MEM 133.390625 1659418064.1852
MEM 228.757812 1659418064.2855
MEM 209.539062 1659418064.3863
MEM 241.531250 1659418064.4867
MEM 228.757812 1659418064.5872
MEM 285.531250 1659418064.6876
MEM 228.757812 1659418064.7880
MEM 102.234375 1659418064.8883
MEM 228.757812 1659418064.9886
MEM 156.238281 1659418065.0890
MEM 228.769531 1659418065.1893
MEM 164.890625 1659418065.2897
