CMDLINE /usr/bin/python3 test_aes_ecdh.py
MEM 1.171875 1659418778.6677
MEM 31.214844 1659418778.7680
MEM 94.472656 1659418778.8684
MEM 194.472656 1659418778.9689
MEM 290.472656 1659418779.0692
MEM 386.472656 1659418779.1696
MEM 486.472656 1659418779.2699
MEM 584.472656 1659418779.3703
MEM 678.472656 1659418779.4706
MEM 770.472656 1659418779.5710
MEM 870.472656 1659418779.6714
MEM 966.472656 1659418779.7718
MEM 1062.472656 1659418779.8721
MEM 1166.472656 1659418779.9724
MEM 1264.472656 1659418780.0727
MEM 1362.472656 1659418780.1731
MEM 1460.472656 1659418780.2734
MEM 1558.472656 1659418780.3738
MEM 1650.472656 1659418780.4741
MEM 1744.472656 1659418780.5745
MEM 1838.472656 1659418780.6749
MEM 1934.472656 1659418780.7753
MEM 2032.472656 1659418780.8757
MEM 2132.472656 1659418780.9760
MEM 2222.472656 1659418781.0764
MEM 2320.472656 1659418781.1767
MEM 2420.472656 1659418781.2770
MEM 2520.472656 1659418781.3774
MEM 2616.472656 1659418781.4778
MEM 2716.472656 1659418781.5782
MEM 2814.472656 1659418781.6785
MEM 2912.472656 1659418781.7788
MEM 3006.472656 1659418781.8792
MEM 3104.472656 1659418781.9796
MEM 3200.472656 1659418782.0800
MEM 3290.472656 1659418782.1804
MEM 3378.472656 1659418782.2808
MEM 3468.472656 1659418782.3811
MEM 3556.472656 1659418782.4814
MEM 3652.472656 1659418782.5817
MEM 3746.472656 1659418782.6821
MEM 3842.472656 1659418782.7824
MEM 3934.472656 1659418782.8828
MEM 4024.472656 1659418782.9831
MEM 4116.472656 1659418783.0836
MEM 4416.789062 1659418783.1839
MEM 4666.351562 1659418783.2842
MEM 4922.101562 1659418783.3846
MEM 5181.460938 1659418783.4849
MEM 5437.468750 1659418783.5852
MEM 5694.765625 1659418783.6856
MEM 5954.640625 1659418783.7860
MEM 6209.875000 1659418783.8863
MEM 6461.757812 1659418783.9866
MEM 6723.179688 1659418784.0870
MEM 6986.148438 1659418784.1873
MEM 7255.238281 1659418784.2876
MEM 7527.230469 1659418784.3879
MEM 7781.949219 1659418784.4883
MEM 8048.011719 1659418784.5886
MEM 8335.460938 1659418784.6889
MEM 8671.898438 1659418784.7893
MEM 9001.382812 1659418784.8897
MEM 9328.929688 1659418784.9901
MEM 9655.511719 1659418785.0904
MEM 9979.582031 1659418785.1908
MEM 10307.636719 1659418785.2911
MEM 10637.863281 1659418785.3915
MEM 10962.304688 1659418785.4919
MEM 11271.132812 1659418785.5923
MEM 11572.000000 1659418785.6927
MEM 11853.140625 1659418785.7931
MEM 12149.882812 1659418785.8934
MEM 12322.468750 1659418785.9938
MEM 12322.468750 1659418786.0943
MEM 12322.468750 1659418786.1946
MEM 12322.468750 1659418786.2949
MEM 12322.468750 1659418786.3953
MEM 12322.468750 1659418786.4956
MEM 12322.468750 1659418786.5959
MEM 12322.468750 1659418786.6962
MEM 12322.468750 1659418786.7966
MEM 12322.468750 1659418786.8969
MEM 12322.468750 1659418786.9972
MEM 12322.468750 1659418787.0975
MEM 12322.468750 1659418787.1978
MEM 12322.468750 1659418787.2981
MEM 12322.468750 1659418787.3985
MEM 12322.468750 1659418787.4988
MEM 12322.468750 1659418787.5991
MEM 12322.468750 1659418787.6994
MEM 12322.468750 1659418787.7997
MEM 12322.468750 1659418787.9000
MEM 12322.468750 1659418788.0003
MEM 12322.468750 1659418788.1006
MEM 12322.468750 1659418788.2009
MEM 12322.468750 1659418788.3013
MEM 12322.468750 1659418788.4016
MEM 12322.468750 1659418788.5019
MEM 12322.468750 1659418788.6023
MEM 12322.468750 1659418788.7026
MEM 12322.468750 1659418788.8029
MEM 12322.468750 1659418788.9033
MEM 12322.468750 1659418789.0036
MEM 12322.468750 1659418789.1039
MEM 12322.468750 1659418789.2043
MEM 12322.468750 1659418789.3046
MEM 12322.468750 1659418789.4050
MEM 12322.468750 1659418789.5052
MEM 12322.468750 1659418789.6056
MEM 12322.468750 1659418789.7059
MEM 12322.468750 1659418789.8062
MEM 12322.468750 1659418789.9065
MEM 12322.468750 1659418790.0069
MEM 12322.468750 1659418790.1072
MEM 12322.468750 1659418790.2075
MEM 12322.468750 1659418790.3078
MEM 12322.468750 1659418790.4081
MEM 12322.468750 1659418790.5084
MEM 12322.468750 1659418790.6087
MEM 12322.468750 1659418790.7090
MEM 12322.468750 1659418790.8093
MEM 12322.468750 1659418790.9097
MEM 12322.468750 1659418791.0100
MEM 12322.468750 1659418791.1104
MEM 12322.468750 1659418791.2107
MEM 12322.468750 1659418791.3110
MEM 12322.468750 1659418791.4113
MEM 12322.468750 1659418791.5116
MEM 12416.429688 1659418791.6120
MEM 12665.476562 1659418791.7123
MEM 12912.718750 1659418791.8126
MEM 13156.351562 1659418791.9129
MEM 13400.757812 1659418792.0133
MEM 13645.417969 1659418792.1136
MEM 13891.937500 1659418792.2139
MEM 14130.890625 1659418792.3143
MEM 14331.777344 1659418792.4146
MEM 14520.773438 1659418792.5150
MEM 14525.152344 1659418792.6153
MEM 14579.492188 1659418792.7157
MEM 14572.753906 1659418792.8160
MEM 14490.316406 1659418792.9163
MEM 14409.199219 1659418793.0167
MEM 14324.769531 1659418793.1170
MEM 14278.726562 1659418793.2174
MEM 14185.882812 1659418793.3177
MEM 14092.507812 1659418793.4181
MEM 14003.468750 1659418793.5184
MEM 13943.988281 1659418793.6188
MEM 13872.792969 1659418793.7191
MEM 13817.667969 1659418793.8194
MEM 13759.367188 1659418793.9198
MEM 13761.449219 1659418794.0328
MEM 13683.335938 1659418794.1331
MEM 13886.507812 1659418794.2335
MEM 13912.203125 1659418794.3339
MEM 13843.734375 1659418794.4343
MEM 13803.769531 1659418794.5347
MEM 12482.574219 1659418794.6351
MEM 8559.679688 1659418794.7354
MEM 5528.929688 1659418794.8358
MEM 5529.566406 1659418794.9361
MEM 4109.550781 1659418795.0364
MEM 4563.902344 1659418795.1367
MEM 5197.902344 1659418795.2371
MEM 5877.902344 1659418795.3374
MEM 6567.902344 1659418795.4378
MEM 7249.902344 1659418795.5381
MEM 7951.902344 1659418795.6385
MEM 8205.738281 1659418795.7390
MEM 8205.738281 1659418795.8393
MEM 8205.738281 1659418795.9396
MEM 8205.738281 1659418796.0400
MEM 8205.738281 1659418796.1404
MEM 8205.738281 1659418796.2407
MEM 8205.738281 1659418796.3410
MEM 8205.738281 1659418796.4414
MEM 8205.738281 1659418796.5417
MEM 8205.738281 1659418796.6420
MEM 8205.738281 1659418796.7424
MEM 8205.738281 1659418796.8427
MEM 8205.738281 1659418796.9431
MEM 8205.738281 1659418797.0434
MEM 8205.738281 1659418797.1438
MEM 8205.738281 1659418797.2441
MEM 8205.738281 1659418797.3445
MEM 8205.738281 1659418797.4448
MEM 8205.738281 1659418797.5452
MEM 8205.738281 1659418797.6457
MEM 8205.738281 1659418797.7461
MEM 8205.738281 1659418797.8464
MEM 8205.738281 1659418797.9467
MEM 8205.738281 1659418798.0471
MEM 8205.738281 1659418798.1475
MEM 8205.738281 1659418798.2479
MEM 8205.738281 1659418798.3484
MEM 8205.738281 1659418798.4487
MEM 8200.250000 1659418798.5490
MEM 8200.250000 1659418798.6493
MEM 8200.250000 1659418798.7497
MEM 8200.250000 1659418798.8500
MEM 8200.250000 1659418798.9503
MEM 8200.250000 1659418799.0507
MEM 8200.250000 1659418799.1531
MEM 8200.250000 1659418799.2535
MEM 8200.250000 1659418799.3539
MEM 8200.250000 1659418799.4544
MEM 8200.250000 1659418799.5548
MEM 8200.250000 1659418799.6552
MEM 8200.250000 1659418799.7556
MEM 8200.250000 1659418799.8559
MEM 8200.250000 1659418799.9563
MEM 8200.250000 1659418800.0566
MEM 8200.250000 1659418800.1571
MEM 8200.250000 1659418800.2575
MEM 8200.250000 1659418800.3579
MEM 8200.250000 1659418800.4583
MEM 8200.250000 1659418800.5591
MEM 8200.250000 1659418800.6594
MEM 8200.250000 1659418800.7601
MEM 8200.250000 1659418800.8608
MEM 8200.250000 1659418800.9611
MEM 8200.250000 1659418801.0615
MEM 8200.250000 1659418801.1619
MEM 8200.250000 1659418801.2622
MEM 8200.250000 1659418801.3625
MEM 8200.250000 1659418801.4628
MEM 8200.250000 1659418801.5632
MEM 8200.250000 1659418801.6635
MEM 8200.250000 1659418801.7638
MEM 8200.250000 1659418801.8641
MEM 8200.250000 1659418801.9644
MEM 8200.250000 1659418802.0648
MEM 8200.250000 1659418802.1651
MEM 8200.250000 1659418802.2659
MEM 8200.250000 1659418802.3663
MEM 8200.250000 1659418802.4669
MEM 8200.250000 1659418802.5677
MEM 8200.250000 1659418802.6686
MEM 8200.250000 1659418802.7694
MEM 8200.250000 1659418802.8701
MEM 8200.250000 1659418802.9710
MEM 8200.250000 1659418803.0717
MEM 2956.109375 1659418803.1722
MEM 8.972656 1659418803.2726
MEM 20.066406 1659418803.3730
MEM 94.167969 1659418803.4733
MEM 186.167969 1659418803.5736
MEM 312.167969 1659418803.6740
MEM 440.167969 1659418803.7743
MEM 566.167969 1659418803.8746
MEM 678.167969 1659418803.9749
MEM 792.167969 1659418804.0753
MEM 906.167969 1659418804.1756
MEM 1016.167969 1659418804.2761
MEM 1130.167969 1659418804.3764
MEM 1182.167969 1659418804.4768
MEM 1238.167969 1659418804.5771
MEM 1354.167969 1659418804.6776
MEM 1466.167969 1659418804.7779
MEM 1560.167969 1659418804.8787
MEM 1640.167969 1659418804.9791
MEM 1738.167969 1659418805.0795
MEM 1846.167969 1659418805.1800
MEM 1958.167969 1659418805.2805
MEM 2074.167969 1659418805.3808
MEM 2192.167969 1659418805.4812
MEM 2314.167969 1659418805.5815
MEM 2432.167969 1659418805.6819
MEM 2544.167969 1659418805.7822
MEM 2668.167969 1659418805.8825
MEM 2790.167969 1659418805.9829
MEM 2912.167969 1659418806.0832
MEM 3020.167969 1659418806.1836
MEM 3138.167969 1659418806.2839
MEM 3260.167969 1659418806.3843
MEM 3366.167969 1659418806.4847
MEM 3482.167969 1659418806.5851
MEM 3590.167969 1659418806.6854
MEM 3698.167969 1659418806.7858
MEM 3810.167969 1659418806.8861
MEM 3922.167969 1659418806.9867
MEM 4048.167969 1659418807.0871
MEM 4388.398438 1659418807.1874
MEM 4888.398438 1659418807.2879
MEM 5192.398438 1659418807.3883
MEM 5502.398438 1659418807.4886
MEM 5824.398438 1659418807.5890
MEM 6140.398438 1659418807.6894
MEM 6458.398438 1659418807.7901
MEM 6778.398438 1659418807.8905
MEM 7041.089844 1659418807.9909
MEM 7278.535156 1659418808.0912
MEM 7533.511719 1659418808.1916
MEM 7795.964844 1659418808.2919
MEM 8058.675781 1659418808.3922
MEM 8333.535156 1659418808.4926
MEM 8612.230469 1659418808.5929
MEM 8923.726562 1659418808.6933
MEM 9243.921875 1659418808.7937
MEM 9567.984375 1659418808.8941
MEM 9895.398438 1659418808.9944
MEM 10199.093750 1659418809.0949
MEM 10489.515625 1659418809.1953
MEM 10802.500000 1659418809.2957
MEM 11112.648438 1659418809.3961
MEM 11424.601562 1659418809.4965
MEM 11746.609375 1659418809.5970
MEM 12066.812500 1659418809.6973
MEM 12298.328125 1659418809.7977
MEM 12298.328125 1659418809.8980
MEM 12298.328125 1659418809.9983
MEM 12298.328125 1659418810.0986
MEM 12298.328125 1659418810.1990
MEM 12298.328125 1659418810.2993
MEM 12298.328125 1659418810.3996
MEM 12298.328125 1659418810.5000
MEM 12298.328125 1659418810.6003
MEM 12298.328125 1659418810.7006
MEM 12298.328125 1659418810.8009
MEM 12298.328125 1659418810.9013
MEM 12298.328125 1659418811.0016
MEM 12298.328125 1659418811.1019
MEM 12298.328125 1659418811.2024
MEM 12298.328125 1659418811.3027
MEM 12298.328125 1659418811.4030
MEM 12298.328125 1659418811.5033
MEM 12298.328125 1659418811.6037
MEM 12298.328125 1659418811.7041
MEM 12298.328125 1659418811.8045
MEM 12298.328125 1659418811.9048
MEM 12298.328125 1659418812.0052
MEM 12298.328125 1659418812.1054
MEM 12298.328125 1659418812.2058
MEM 12298.328125 1659418812.3061
MEM 12298.328125 1659418812.4064
MEM 12298.328125 1659418812.5067
MEM 12298.328125 1659418812.6070
MEM 12298.328125 1659418812.7073
MEM 12298.328125 1659418812.8076
MEM 12298.328125 1659418812.9080
MEM 12298.328125 1659418813.0084
MEM 12298.328125 1659418813.1087
MEM 12298.328125 1659418813.2090
MEM 12298.328125 1659418813.3093
MEM 12298.328125 1659418813.4096
MEM 12298.328125 1659418813.5099
MEM 12298.328125 1659418813.6102
MEM 12298.328125 1659418813.7105
MEM 12298.328125 1659418813.8108
MEM 12298.328125 1659418813.9111
MEM 12298.328125 1659418814.0115
MEM 12298.328125 1659418814.1118
MEM 12298.328125 1659418814.2120
MEM 12298.328125 1659418814.3124
MEM 12298.328125 1659418814.4127
MEM 12298.328125 1659418814.5132
MEM 12298.328125 1659418814.6136
MEM 12298.328125 1659418814.7139
MEM 12298.328125 1659418814.8143
MEM 12298.328125 1659418814.9146
MEM 12298.328125 1659418815.0149
MEM 12298.328125 1659418815.1152
MEM 12298.328125 1659418815.2156
MEM 12298.328125 1659418815.3158
MEM 12471.835938 1659418815.4162
MEM 12734.289062 1659418815.5165
MEM 12979.210938 1659418815.6168
MEM 13242.437500 1659418815.7172
MEM 13505.148438 1659418815.8175
MEM 13771.777344 1659418815.9178
MEM 14024.175781 1659418816.0182
MEM 14284.367188 1659418816.1185
MEM 14549.398438 1659418816.2189
MEM 14821.117188 1659418816.3192
MEM 15094.839844 1659418816.4195
MEM 15138.382812 1659418816.5201
MEM 15156.855469 1659418816.6204
MEM 15164.460938 1659418816.7207
MEM 15171.753906 1659418816.8211
MEM 15160.402344 1659418816.9214
MEM 15124.394531 1659418817.0218
MEM 15102.496094 1659418817.1222
MEM 15091.933594 1659418817.2226
MEM 15057.914062 1659418817.3230
MEM 14980.570312 1659418817.4233
MEM 14906.781250 1659418817.5237
MEM 14842.617188 1659418817.6240
MEM 14803.675781 1659418817.7243
MEM 12865.484375 1659418817.8247
MEM 6583.554688 1659418817.9251
MEM 6525.710938 1659418818.0254
MEM 4372.386719 1659418818.1258
MEM 5062.386719 1659418818.2262
MEM 5596.386719 1659418818.3265
MEM 6002.386719 1659418818.4268
MEM 6360.386719 1659418818.5271
MEM 6734.386719 1659418818.6275
MEM 7118.386719 1659418818.7278
MEM 7534.386719 1659418818.8282
MEM 7952.386719 1659418818.9286
MEM 8198.421875 1659418819.0289
MEM 8198.421875 1659418819.1292
MEM 8198.421875 1659418819.2296
MEM 8198.421875 1659418819.3299
MEM 8198.421875 1659418819.4302
MEM 8198.421875 1659418819.5306
MEM 8198.421875 1659418819.6310
MEM 8198.421875 1659418819.7314
MEM 8198.421875 1659418819.8317
MEM 8198.421875 1659418819.9321
MEM 8198.421875 1659418820.0324
MEM 8198.421875 1659418820.1329
MEM 8198.421875 1659418820.2332
MEM 8198.421875 1659418820.3335
MEM 8198.421875 1659418820.4339
MEM 8198.421875 1659418820.5342
MEM 8198.421875 1659418820.6345
MEM 8198.421875 1659418820.7349
MEM 8198.421875 1659418820.8354
MEM 8198.421875 1659418820.9358
MEM 8198.421875 1659418821.0362
MEM 8198.421875 1659418821.1366
MEM 8198.421875 1659418821.2370
MEM 8198.421875 1659418821.3374
