CMDLINE /usr/bin/python3 test_aes_ecdh.py
MEM 1.171875 1659419856.4869
MEM 33.054688 1659419856.5871
MEM 132.140625 1659419856.6875
MEM 163.117188 1659419856.7878
MEM 130.171875 1659419856.8882
MEM 163.156250 1659419856.9885
MEM 61.992188 1659419857.0889
MEM 163.156250 1659419857.1893
MEM 39.992188 1659419857.2898
MEM 163.156250 1659419857.3901
MEM 37.992188 1659419857.4906
MEM 163.156250 1659419857.5910
MEM 47.992188 1659419857.6915
MEM 163.156250 1659419857.7919
MEM 69.992188 1659419857.8924
MEM 163.156250 1659419857.9928
MEM 65.992188 1659419858.0933
MEM 163.156250 1659419858.1937
MEM 45.992188 1659419858.2942
MEM 163.160156 1659419858.3946
MEM 39.992188 1659419858.4950
MEM 163.164062 1659419858.5953
MEM 99.226562 1659419858.6956
