CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.105469 1659346124.1308
MEM 33.460938 1659346124.2311
MEM 40.890625 1659346124.3314
MEM 40.890625 1659346124.4317
MEM 40.890625 1659346124.5320
MEM 86.496094 1659346124.6323
MEM 190.656250 1659346124.7327
MEM 296.656250 1659346124.8330
MEM 392.656250 1659346124.9334
MEM 482.656250 1659346125.0338
MEM 574.656250 1659346125.1342
MEM 674.656250 1659346125.2345
MEM 770.656250 1659346125.3349
MEM 878.656250 1659346125.4353
MEM 982.656250 1659346125.5356
MEM 1084.656250 1659346125.6360
MEM 1188.656250 1659346125.7363
MEM 1294.656250 1659346125.8367
MEM 1400.656250 1659346125.9370
MEM 1496.656250 1659346126.0374
MEM 1594.656250 1659346126.1377
MEM 1698.656250 1659346126.2381
MEM 1790.656250 1659346126.3384
MEM 1884.656250 1659346126.4388
MEM 1978.656250 1659346126.5392
MEM 2072.656250 1659346126.6396
MEM 2168.656250 1659346126.7399
MEM 2262.656250 1659346126.8403
MEM 2346.656250 1659346126.9406
MEM 2454.656250 1659346127.0410
MEM 2554.656250 1659346127.1414
MEM 2646.656250 1659346127.2417
MEM 2738.656250 1659346127.3421
MEM 2830.656250 1659346127.4424
MEM 2922.656250 1659346127.5427
MEM 3002.656250 1659346127.6432
MEM 3094.656250 1659346127.7436
MEM 3188.656250 1659346127.8440
MEM 3276.656250 1659346127.9444
MEM 3366.656250 1659346128.0449
MEM 3454.656250 1659346128.1452
MEM 3544.656250 1659346128.2455
MEM 3634.656250 1659346128.3459
MEM 3726.656250 1659346128.4464
MEM 3816.656250 1659346128.5467
MEM 3906.656250 1659346128.6472
MEM 3996.656250 1659346128.7475
MEM 4206.664062 1659346128.8479
MEM 4477.511719 1659346128.9482
MEM 4725.011719 1659346129.0485
MEM 4973.800781 1659346129.1489
MEM 5223.105469 1659346129.2492
MEM 5471.894531 1659346129.3496
MEM 5720.167969 1659346129.4499
MEM 5976.949219 1659346129.5502
MEM 6233.214844 1659346129.6506
MEM 6491.027344 1659346129.7509
MEM 6750.644531 1659346129.8512
MEM 7018.253906 1659346129.9516
MEM 7296.351562 1659346130.0519
MEM 7564.734375 1659346130.1522
MEM 7828.734375 1659346130.2526
MEM 8081.132812 1659346130.3529
MEM 8369.621094 1659346130.4532
MEM 8684.410156 1659346130.5536
MEM 9004.871094 1659346130.6539
MEM 9333.699219 1659346130.7543
MEM 9661.121094 1659346130.8546
MEM 9979.902344 1659346130.9550
MEM 10323.851562 1659346131.0554
MEM 10640.121094 1659346131.1558
MEM 10927.136719 1659346131.2563
MEM 11229.546875 1659346131.3567
MEM 11527.062500 1659346131.4569
MEM 11817.355469 1659346131.5573
MEM 12118.480469 1659346131.6576
MEM 12323.183594 1659346131.7579
MEM 12323.183594 1659346131.8582
MEM 12323.183594 1659346131.9585
MEM 12323.183594 1659346132.0588
MEM 12323.183594 1659346132.1591
MEM 12323.183594 1659346132.2594
MEM 12323.183594 1659346132.3597
MEM 12323.183594 1659346132.4600
MEM 12323.183594 1659346132.5604
MEM 12323.183594 1659346132.6607
MEM 12323.183594 1659346132.7610
MEM 12323.183594 1659346132.8612
MEM 12323.183594 1659346132.9615
MEM 12323.183594 1659346133.0618
MEM 12323.183594 1659346133.1621
MEM 12323.183594 1659346133.2624
MEM 12323.183594 1659346133.3627
MEM 12323.183594 1659346133.4630
MEM 12323.183594 1659346133.5632
MEM 12323.183594 1659346133.6636
MEM 12323.183594 1659346133.7638
MEM 12323.183594 1659346133.8641
MEM 12323.183594 1659346133.9644
MEM 12323.183594 1659346134.0647
MEM 12323.183594 1659346134.1650
MEM 12323.183594 1659346134.2652
MEM 12323.183594 1659346134.3660
MEM 12323.183594 1659346134.4663
MEM 12323.183594 1659346134.5666
MEM 12323.183594 1659346134.6671
MEM 12323.183594 1659346134.7674
MEM 12323.183594 1659346134.8677
MEM 12323.183594 1659346134.9680
MEM 12323.183594 1659346135.0683
MEM 12323.183594 1659346135.1686
MEM 12323.183594 1659346135.2690
MEM 12323.183594 1659346135.3693
MEM 12323.183594 1659346135.4697
MEM 12323.183594 1659346135.5701
MEM 12323.183594 1659346135.6704
MEM 12323.183594 1659346135.7707
MEM 12323.183594 1659346135.8711
MEM 12323.183594 1659346135.9713
MEM 12323.183594 1659346136.0717
MEM 12323.183594 1659346136.1720
MEM 12323.183594 1659346136.2723
MEM 12323.183594 1659346136.3726
MEM 12323.183594 1659346136.4729
MEM 12323.183594 1659346136.5732
MEM 12323.183594 1659346136.6735
MEM 12323.183594 1659346136.7737
MEM 12323.183594 1659346136.8741
MEM 12323.183594 1659346136.9744
MEM 12323.183594 1659346137.0746
MEM 12323.183594 1659346137.1749
MEM 12323.183594 1659346137.2752
MEM 12323.183594 1659346137.3755
MEM 12323.183594 1659346137.4758
MEM 12323.183594 1659346137.5761
MEM 12323.183594 1659346137.6764
MEM 12323.183594 1659346137.7767
MEM 12323.183594 1659346137.8770
MEM 12323.183594 1659346137.9773
MEM 12323.183594 1659346138.0777
MEM 12323.183594 1659346138.1779
MEM 12323.183594 1659346138.2783
MEM 12323.183594 1659346138.3785
MEM 12426.484375 1659346138.4789
MEM 12674.433594 1659346138.5792
MEM 12922.449219 1659346138.6795
MEM 13172.011719 1659346138.7799
MEM 13425.699219 1659346138.8802
MEM 13673.972656 1659346138.9805
MEM 13909.097656 1659346139.0809
MEM 14120.246094 1659346139.1812
MEM 14127.835938 1659346139.2816
MEM 14227.527344 1659346139.3820
MEM 14223.179688 1659346139.4823
MEM 14173.371094 1659346139.5827
MEM 14155.148438 1659346139.6830
MEM 14126.398438 1659346139.7834
MEM 14075.160156 1659346139.8837
MEM 13966.796875 1659346139.9841
MEM 14020.492188 1659346140.0844
MEM 13916.191406 1659346140.1847
MEM 13877.582031 1659346140.2850
MEM 13782.000000 1659346140.3853
MEM 13734.941406 1659346140.4856
MEM 13661.683594 1659346140.5860
MEM 13636.816406 1659346140.6863
MEM 13671.496094 1659346140.7867
MEM 13636.281250 1659346140.8870
MEM 13582.089844 1659346140.9873
MEM 13505.101562 1659346141.0877
MEM 11600.265625 1659346141.1880
MEM 7938.839844 1659346141.2883
MEM 5246.964844 1659346141.3886
MEM 5247.500000 1659346141.4889
MEM 4111.976562 1659346141.5893
MEM 4604.390625 1659346141.6897
MEM 5286.390625 1659346141.7900
MEM 5994.390625 1659346141.8904
MEM 6698.390625 1659346141.9908
MEM 7400.390625 1659346142.0911
MEM 8100.390625 1659346142.1915
MEM 8208.121094 1659346142.2919
MEM 8208.121094 1659346142.3923
MEM 8208.121094 1659346142.4926
MEM 8208.121094 1659346142.5983
MEM 8208.121094 1659346142.6987
MEM 8208.121094 1659346142.7990
MEM 8208.121094 1659346142.8994
MEM 8208.121094 1659346142.9998
MEM 8208.121094 1659346143.1001
MEM 8208.121094 1659346143.2006
MEM 8208.121094 1659346143.3009
MEM 8208.121094 1659346143.4013
MEM 8208.121094 1659346143.5016
MEM 8208.121094 1659346143.6020
MEM 8208.121094 1659346143.7024
MEM 8208.121094 1659346143.8027
MEM 8208.121094 1659346143.9030
MEM 8208.121094 1659346144.0035
MEM 8208.121094 1659346144.1038
MEM 8208.121094 1659346144.2041
MEM 8208.121094 1659346144.3045
MEM 8208.121094 1659346144.4049
MEM 8208.121094 1659346144.5054
MEM 8208.121094 1659346144.6058
MEM 8208.121094 1659346144.7062
MEM 8208.121094 1659346144.8066
MEM 8208.121094 1659346144.9070
MEM 8208.121094 1659346145.0074
MEM 8208.121094 1659346145.1078
MEM 8208.121094 1659346145.2082
MEM 8208.121094 1659346145.3085
MEM 8208.121094 1659346145.4088
MEM 8208.121094 1659346145.5092
MEM 8208.121094 1659346145.6095
MEM 8208.121094 1659346145.7099
MEM 8208.121094 1659346145.8102
MEM 8208.121094 1659346145.9105
MEM 8208.121094 1659346146.0109
MEM 8208.121094 1659346146.1112
MEM 8208.121094 1659346146.2117
MEM 8208.121094 1659346146.3121
MEM 8208.121094 1659346146.4126
MEM 8208.121094 1659346146.5130
MEM 8208.121094 1659346146.6134
MEM 8208.121094 1659346146.7175
MEM 8208.121094 1659346146.8180
MEM 8208.121094 1659346146.9188
MEM 8208.121094 1659346147.0195
MEM 8208.121094 1659346147.1198
MEM 8208.121094 1659346147.2202
MEM 8208.121094 1659346147.3206
MEM 8208.121094 1659346147.4209
MEM 8208.121094 1659346147.5212
MEM 8208.121094 1659346147.6215
MEM 8208.121094 1659346147.7222
MEM 8208.121094 1659346147.8232
MEM 8208.121094 1659346147.9240
MEM 8208.121094 1659346148.0243
MEM 8208.121094 1659346148.1247
MEM 8208.121094 1659346148.2255
MEM 8208.121094 1659346148.3262
MEM 8208.121094 1659346148.4266
MEM 8208.121094 1659346148.5274
MEM 8208.121094 1659346148.6278
MEM 8208.121094 1659346148.7283
MEM 8208.121094 1659346148.8286
MEM 8208.121094 1659346148.9291
MEM 8208.121094 1659346149.0302
MEM 8208.121094 1659346149.1305
MEM 8208.121094 1659346149.2308
MEM 8208.121094 1659346149.3311
MEM 8208.121094 1659346149.4315
MEM 8208.121094 1659346149.5318
MEM 8208.121094 1659346149.6321
MEM 8208.121094 1659346149.7326
MEM 8208.121094 1659346149.8334
MEM 8208.121094 1659346149.9337
MEM 8208.121094 1659346150.0343
MEM 8208.121094 1659346150.1351
MEM 8208.121094 1659346150.2355
MEM 8208.121094 1659346150.3362
MEM 8208.121094 1659346150.4370
MEM 8208.121094 1659346150.5373
MEM 1294.488281 1659346150.6377
MEM 16.652344 1659346150.7381
MEM 17.363281 1659346150.8385
MEM 17.363281 1659346150.9389
MEM 17.363281 1659346151.0392
MEM 17.363281 1659346151.1397
MEM 59.109375 1659346151.2400
MEM 125.246094 1659346151.3404
MEM 197.246094 1659346151.4407
MEM 255.246094 1659346151.5410
MEM 333.246094 1659346151.6414
MEM 447.246094 1659346151.7417
MEM 567.246094 1659346151.8420
MEM 689.246094 1659346151.9423
MEM 815.246094 1659346152.0427
MEM 933.246094 1659346152.1430
MEM 1055.246094 1659346152.2434
MEM 1177.246094 1659346152.3438
MEM 1299.246094 1659346152.4441
MEM 1423.246094 1659346152.5444
MEM 1545.246094 1659346152.6447
MEM 1669.246094 1659346152.7451
MEM 1799.246094 1659346152.8454
MEM 1929.246094 1659346152.9458
MEM 2041.246094 1659346153.0462
MEM 2099.246094 1659346153.1466
MEM 2205.246094 1659346153.2470
