CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.097656 1659347874.2688
MEM 20.671875 1659347874.3692
MEM 20.671875 1659347874.4695
MEM 20.671875 1659347874.5697
MEM 20.671875 1659347874.6700
MEM 105.113281 1659347874.7704
MEM 195.113281 1659347874.8707
MEM 321.121094 1659347874.9711
MEM 532.484375 1659347875.0715
MEM 532.484375 1659347875.1718
MEM 532.484375 1659347875.2721
MEM 532.484375 1659347875.3724
MEM 532.484375 1659347875.4728
MEM 712.250000 1659347875.5731
MEM 276.675781 1659347875.6736
MEM 276.675781 1659347875.7739
MEM 20.671875 1659347875.8742
MEM 20.671875 1659347875.9746
MEM 20.671875 1659347876.0749
MEM 347.121094 1659347876.1753
MEM 532.492188 1659347876.2756
MEM 532.492188 1659347876.3759
MEM 532.492188 1659347876.4762
MEM 532.492188 1659347876.5765
MEM 661.128906 1659347876.6769
MEM 276.675781 1659347876.7773
MEM 276.675781 1659347876.8777
MEM 20.671875 1659347876.9781
MEM 20.671875 1659347877.0784
MEM 20.671875 1659347877.1787
MEM 20.671875 1659347877.2790
MEM 485.121094 1659347877.3793
MEM 532.496094 1659347877.4796
MEM 532.496094 1659347877.5799
MEM 532.496094 1659347877.6803
MEM 532.496094 1659347877.7806
MEM 693.128906 1659347877.8810
MEM 276.675781 1659347877.9814
MEM 276.675781 1659347878.0817
MEM 20.671875 1659347878.1822
MEM 20.671875 1659347878.2826
MEM 20.671875 1659347878.3829
MEM 20.671875 1659347878.4831
MEM 415.121094 1659347878.5835
MEM 532.496094 1659347878.6838
MEM 532.496094 1659347878.7841
MEM 532.496094 1659347878.8844
MEM 532.496094 1659347878.9848
MEM 787.546875 1659347879.0851
MEM 276.675781 1659347879.1854
MEM 20.671875 1659347879.2858
MEM 20.671875 1659347879.3862
MEM 20.671875 1659347879.4865
MEM 20.671875 1659347879.5868
MEM 489.121094 1659347879.6918
MEM 532.496094 1659347879.7922
MEM 532.496094 1659347879.8924
MEM 532.496094 1659347879.9927
MEM 532.496094 1659347880.0931
MEM 779.128906 1659347880.1934
MEM 276.675781 1659347880.2940
MEM 20.671875 1659347880.3944
MEM 20.671875 1659347880.4947
MEM 20.671875 1659347880.5951
MEM 20.671875 1659347880.6953
MEM 519.121094 1659347880.7957
MEM 532.492188 1659347880.8960
MEM 532.492188 1659347880.9964
MEM 532.492188 1659347881.0968
MEM 532.492188 1659347881.1971
MEM 628.222656 1659347881.2976
MEM 276.675781 1659347881.3979
MEM 20.671875 1659347881.4983
MEM 20.671875 1659347881.5986
MEM 20.671875 1659347881.6989
MEM 20.671875 1659347881.7992
MEM 467.113281 1659347881.8996
MEM 532.488281 1659347881.9999
MEM 532.488281 1659347882.1003
MEM 532.488281 1659347882.2005
MEM 532.488281 1659347882.3009
MEM 634.222656 1659347882.4012
MEM 276.675781 1659347882.5016
MEM 20.671875 1659347882.6020
MEM 20.671875 1659347882.7024
MEM 20.671875 1659347882.8027
MEM 20.671875 1659347882.9030
MEM 280.925781 1659347883.0033
MEM 532.492188 1659347883.1037
MEM 532.492188 1659347883.2040
MEM 532.492188 1659347883.3043
MEM 532.492188 1659347883.4047
MEM 612.222656 1659347883.5050
MEM 276.675781 1659347883.6054
MEM 20.671875 1659347883.7058
MEM 20.671875 1659347883.8062
MEM 20.671875 1659347883.9065
MEM 20.671875 1659347884.0068
MEM 351.113281 1659347884.1071
MEM 532.496094 1659347884.2075
MEM 532.496094 1659347884.3078
MEM 532.496094 1659347884.4081
MEM 532.496094 1659347884.5084
MEM 788.320312 1659347884.6088
MEM 276.675781 1659347884.7091
MEM 20.671875 1659347884.8095
MEM 20.671875 1659347884.9098
MEM 20.671875 1659347885.0101
MEM 20.671875 1659347885.1104
MEM 335.113281 1659347885.2108
MEM 532.496094 1659347885.3112
MEM 532.496094 1659347885.4115
MEM 532.496094 1659347885.5117
MEM 532.496094 1659347885.6120
MEM 682.250000 1659347885.7124
MEM 276.675781 1659347885.8127
