CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.109375 1659347739.1569
MEM 20.535156 1659347739.2572
MEM 20.535156 1659347739.3576
MEM 20.535156 1659347739.4578
MEM 20.535156 1659347739.5582
MEM 100.437500 1659347739.6585
MEM 148.468750 1659347739.7589
MEM 20.539062 1659347739.8592
MEM 20.539062 1659347739.9596
MEM 20.539062 1659347740.0599
MEM 20.539062 1659347740.1601
MEM 148.476562 1659347740.2605
MEM 84.542969 1659347740.3608
MEM 20.539062 1659347740.4611
MEM 20.539062 1659347740.5614
MEM 20.539062 1659347740.6618
MEM 20.539062 1659347740.7621
MEM 148.480469 1659347740.8624
MEM 20.539062 1659347740.9628
MEM 20.539062 1659347741.0631
MEM 20.539062 1659347741.1634
MEM 20.539062 1659347741.2637
MEM 148.480469 1659347741.3641
MEM 84.542969 1659347741.4644
MEM 20.539062 1659347741.5647
MEM 20.539062 1659347741.6650
MEM 20.539062 1659347741.7653
MEM 20.539062 1659347741.8657
MEM 148.480469 1659347741.9660
MEM 84.542969 1659347742.0665
MEM 20.539062 1659347742.1668
MEM 20.539062 1659347742.2672
MEM 20.539062 1659347742.3674
MEM 148.476562 1659347742.4678
MEM 168.546875 1659347742.5681
MEM 20.539062 1659347742.6686
MEM 20.539062 1659347742.7690
MEM 20.539062 1659347742.8693
MEM 68.339844 1659347742.9697
MEM 148.472656 1659347743.0700
MEM 20.539062 1659347743.1703
MEM 20.539062 1659347743.2707
MEM 20.539062 1659347743.3710
MEM 20.539062 1659347743.4713
MEM 148.476562 1659347743.5716
MEM 84.542969 1659347743.6720
MEM 20.539062 1659347743.7723
MEM 20.539062 1659347743.8727
MEM 20.539062 1659347743.9730
MEM 94.281250 1659347744.0735
MEM 148.480469 1659347744.1739
MEM 20.539062 1659347744.2745
MEM 20.539062 1659347744.3748
MEM 20.539062 1659347744.4751
MEM 20.539062 1659347744.5755
MEM 148.480469 1659347744.6758
MEM 84.542969 1659347744.7761
