CMDLINE /usr/bin/python3 test_aes_ecdh.py
MEM 1.109375 1659417306.6624
MEM 28.691406 1659417306.7627
MEM 36.632812 1659417306.8630
MEM 132.890625 1659417306.9634
MEM 132.886719 1659417307.0638
MEM 132.886719 1659417307.1641
MEM 132.882812 1659417307.2646
MEM 132.882812 1659417307.3652
MEM 132.882812 1659417307.4657
MEM 132.882812 1659417307.5660
MEM 132.886719 1659417307.6665
MEM 132.890625 1659417307.7668
MEM 132.890625 1659417307.8674
MEM 54.167969 1659417307.9679
MEM 228.703125 1659417308.0683
MEM 164.824219 1659417308.1686
MEM 228.703125 1659417308.2690
MEM 164.824219 1659417308.3694
MEM 228.695312 1659417308.4697
MEM 164.824219 1659417308.5701
MEM 228.691406 1659417308.6704
MEM 100.824219 1659417308.7708
MEM 228.707031 1659417308.8711
MEM 228.695312 1659417308.9715
MEM 238.242188 1659417309.0718
MEM 174.300781 1659417309.1723
MEM 236.242188 1659417309.2726
MEM 228.703125 1659417309.3730
MEM 141.406250 1659417309.4733
MEM 228.703125 1659417309.5737
MEM 164.832031 1659417309.6741
MEM 228.710938 1659417309.7744
MEM 164.832031 1659417309.8747
MEM 120.324219 1659417309.9751
MEM 420.847656 1659417310.0754
MEM 420.847656 1659417310.1758
MEM 171.406250 1659417310.2761
MEM 88.175781 1659417310.3765
MEM 420.847656 1659417310.4769
MEM 420.847656 1659417310.5772
MEM 292.707031 1659417310.6775
MEM 310.316406 1659417310.7780
MEM 420.843750 1659417310.8783
MEM 524.347656 1659417310.9787
MEM 292.707031 1659417311.0790
MEM 420.847656 1659417311.1793
MEM 420.847656 1659417311.2797
MEM 292.707031 1659417311.3799
MEM 174.242188 1659417311.4803
MEM 420.843750 1659417311.5807
MEM 420.843750 1659417311.6810
MEM 292.710938 1659417311.7814
MEM 420.851562 1659417311.8817
MEM 420.851562 1659417311.9821
MEM 283.480469 1659417312.0825
MEM 134.332031 1659417312.1831
MEM 420.851562 1659417312.2835
MEM 420.851562 1659417312.3837
MEM 292.714844 1659417312.4841
MEM 420.855469 1659417312.5844
MEM 420.855469 1659417312.6848
MEM 233.414062 1659417312.7852
MEM 112.332031 1659417312.8859
MEM 420.847656 1659417312.9863
MEM 420.847656 1659417313.0866
MEM 292.714844 1659417313.1870
