CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.175781 1659344020.0083
MEM 31.929688 1659344020.1086
MEM 37.425781 1659344020.2089
MEM 37.425781 1659344020.3093
MEM 37.425781 1659344020.4096
MEM 133.433594 1659344020.5099
MEM 37.429688 1659344020.6102
MEM 37.429688 1659344020.7106
MEM 37.429688 1659344020.8109
MEM 37.429688 1659344020.9112
MEM 98.464844 1659344021.0116
MEM 37.433594 1659344021.1120
MEM 37.433594 1659344021.2124
MEM 37.433594 1659344021.3126
MEM 133.441406 1659344021.4130
MEM 37.433594 1659344021.5133
MEM 37.433594 1659344021.6136
MEM 37.433594 1659344021.7139
MEM 37.433594 1659344021.8142
MEM 82.464844 1659344021.9147
MEM 37.433594 1659344022.0150
MEM 37.433594 1659344022.1153
MEM 37.433594 1659344022.2155
MEM 133.441406 1659344022.3158
MEM 37.433594 1659344022.4162
MEM 37.433594 1659344022.5164
MEM 37.433594 1659344022.6167
MEM 50.203125 1659344022.7170
MEM 101.437500 1659344022.8174
MEM 37.433594 1659344022.9177
MEM 37.433594 1659344023.0180
MEM 37.433594 1659344023.1182
MEM 133.441406 1659344023.2186
MEM 37.433594 1659344023.3189
MEM 37.433594 1659344023.4191
MEM 37.433594 1659344023.5194
MEM 133.433594 1659344023.6197
MEM 37.433594 1659344023.7201
MEM 37.433594 1659344023.8204
MEM 37.433594 1659344023.9207
MEM 37.433594 1659344024.0210
MEM 101.441406 1659344024.1215
MEM 37.437500 1659344024.2219
MEM 37.437500 1659344024.3221
MEM 37.437500 1659344024.4223
MEM 133.445312 1659344024.5227
MEM 37.437500 1659344024.6230
MEM 37.437500 1659344024.7233
MEM 37.437500 1659344024.8236
MEM 52.195312 1659344024.9240
MEM 229.246094 1659344025.0243
MEM 165.378906 1659344025.1247
MEM 37.437500 1659344025.2250
MEM 37.437500 1659344025.3253
MEM 37.437500 1659344025.4255
MEM 229.253906 1659344025.5259
MEM 165.378906 1659344025.6263
MEM 37.437500 1659344025.7266
MEM 37.437500 1659344025.8269
MEM 37.437500 1659344025.9272
MEM 229.257812 1659344026.0275
MEM 229.257812 1659344026.1278
MEM 37.437500 1659344026.2282
MEM 37.437500 1659344026.3285
MEM 37.437500 1659344026.4287
MEM 37.437500 1659344026.5290
MEM 229.257812 1659344026.6293
MEM 37.437500 1659344026.7297
MEM 37.437500 1659344026.8300
MEM 37.437500 1659344026.9303
MEM 37.437500 1659344027.0305
MEM 229.257812 1659344027.1308
MEM 165.378906 1659344027.2312
MEM 37.437500 1659344027.3315
MEM 37.437500 1659344027.4318
MEM 37.437500 1659344027.5320
MEM 229.246094 1659344027.6323
MEM 229.246094 1659344027.7326
