CMDLINE /usr/bin/python3 test_aes_ecdh.py
MEM 1.167969 1659418272.7911
MEM 35.910156 1659418272.8914
MEM 111.933594 1659418272.9917
MEM 211.941406 1659418273.0921
MEM 313.941406 1659418273.1924
MEM 411.941406 1659418273.2927
MEM 519.941406 1659418273.3930
MEM 865.949219 1659418273.4934
MEM 1405.953125 1659418273.5938
MEM 1573.664062 1659418273.6941
MEM 1573.664062 1659418273.7945
MEM 1573.664062 1659418273.8949
MEM 1573.664062 1659418273.9952
MEM 1573.664062 1659418274.0955
MEM 1573.664062 1659418274.1959
MEM 1573.664062 1659418274.2962
MEM 1781.964844 1659418274.3966
MEM 681.582031 1659418274.4970
MEM 1061.582031 1659418274.5974
MEM 1061.582031 1659418274.6977
MEM 1061.582031 1659418274.7980
MEM 1061.582031 1659418274.8983
MEM 185.941406 1659418274.9988
MEM 427.941406 1659418275.0992
MEM 949.949219 1659418275.1995
MEM 1573.527344 1659418275.2999
MEM 1573.527344 1659418275.4002
MEM 1573.527344 1659418275.5005
MEM 1573.527344 1659418275.6008
MEM 1573.527344 1659418275.7011
MEM 1573.527344 1659418275.8014
MEM 1573.527344 1659418275.9017
MEM 1621.964844 1659418276.0021
MEM 2073.964844 1659418276.1025
MEM 1061.593750 1659418276.2028
MEM 1061.593750 1659418276.3031
MEM 1061.593750 1659418276.4035
MEM 1061.593750 1659418276.5039
MEM 1061.593750 1659418276.6046
MEM 437.945312 1659418276.7050
MEM 1123.937500 1659418276.8054
MEM 1573.519531 1659418276.9058
MEM 1573.519531 1659418277.0061
MEM 1573.519531 1659418277.1064
MEM 1573.519531 1659418277.2067
MEM 1573.519531 1659418277.3070
MEM 1573.519531 1659418277.4073
MEM 1573.519531 1659418277.5077
MEM 1919.968750 1659418277.6080
MEM 875.585938 1659418277.7083
MEM 1061.597656 1659418277.8087
MEM 1061.597656 1659418277.9091
MEM 1061.597656 1659418278.0094
MEM 1061.597656 1659418278.1098
MEM 365.945312 1659418278.2102
MEM 1003.953125 1659418278.3106
MEM 1573.523438 1659418278.4109
MEM 1573.523438 1659418278.5112
MEM 1573.523438 1659418278.6115
MEM 1573.523438 1659418278.7118
MEM 1573.523438 1659418278.8122
MEM 1573.523438 1659418278.9125
MEM 1573.523438 1659418279.0128
MEM 1889.968750 1659418279.1132
MEM 941.585938 1659418279.2136
MEM 1061.597656 1659418279.3140
MEM 1061.597656 1659418279.4143
MEM 1061.597656 1659418279.5147
MEM 1061.597656 1659418279.6150
MEM 145.945312 1659418279.7156
MEM 637.953125 1659418279.8160
MEM 1449.957031 1659418279.9165
MEM 1573.523438 1659418280.0168
MEM 1573.523438 1659418280.1171
MEM 1573.523438 1659418280.2175
MEM 1573.523438 1659418280.3178
MEM 1573.523438 1659418280.4181
MEM 1573.523438 1659418280.5184
MEM 1573.523438 1659418280.6187
MEM 1895.968750 1659418280.7190
MEM 773.585938 1659418280.8195
MEM 1061.597656 1659418280.9198
MEM 1061.597656 1659418281.0202
MEM 1061.597656 1659418281.1205
MEM 1061.597656 1659418281.2208
MEM 151.945312 1659418281.3213
MEM 461.945312 1659418281.4217
MEM 989.953125 1659418281.5221
MEM 1573.523438 1659418281.6224
MEM 1573.523438 1659418281.7227
MEM 1573.523438 1659418281.8230
MEM 1573.523438 1659418281.9234
MEM 1573.523438 1659418282.0237
MEM 1573.523438 1659418282.1241
MEM 1573.523438 1659418282.2244
MEM 1635.968750 1659418282.3248
MEM 2057.968750 1659418282.4251
MEM 1027.585938 1659418282.5255
MEM 1061.597656 1659418282.6258
MEM 1061.597656 1659418282.7262
MEM 1061.597656 1659418282.8267
MEM 1061.597656 1659418282.9270
MEM 447.945312 1659418283.0274
MEM 1151.941406 1659418283.1278
MEM 1573.523438 1659418283.2282
MEM 1573.523438 1659418283.3285
MEM 1573.523438 1659418283.4288
MEM 1573.523438 1659418283.5291
MEM 1573.523438 1659418283.6294
MEM 1573.523438 1659418283.7297
MEM 1573.523438 1659418283.8300
MEM 1965.968750 1659418283.9304
MEM 883.585938 1659418284.0307
