CMDLINE /usr/bin/python3 test_aes_ecdh.py
MEM 1.109375 1659419917.5456
MEM 33.546875 1659419917.6459
MEM 105.562500 1659419917.7463
MEM 187.425781 1659419917.8468
MEM 291.695312 1659419917.9471
MEM 337.500000 1659419918.0474
MEM 163.929688 1659419918.1478
MEM 185.464844 1659419918.2482
MEM 291.734375 1659419918.3486
MEM 291.734375 1659419918.4490
MEM 163.929688 1659419918.5494
MEM 273.542969 1659419918.6498
MEM 291.734375 1659419918.7501
MEM 291.734375 1659419918.8506
MEM 163.929688 1659419918.9509
MEM 233.542969 1659419919.0513
MEM 291.734375 1659419919.1517
MEM 291.734375 1659419919.2520
MEM 163.929688 1659419919.3526
MEM 223.542969 1659419919.4530
MEM 291.734375 1659419919.5534
MEM 291.734375 1659419919.6537
MEM 163.929688 1659419919.7540
MEM 189.464844 1659419919.8547
MEM 291.734375 1659419919.9550
MEM 295.539062 1659419920.0553
MEM 163.929688 1659419920.1557
MEM 291.734375 1659419920.2560
MEM 291.734375 1659419920.3563
MEM 377.539062 1659419920.4567
MEM 163.929688 1659419920.5571
MEM 291.734375 1659419920.6574
MEM 291.734375 1659419920.7577
MEM 163.929688 1659419920.8581
MEM 171.542969 1659419920.9585
MEM 291.738281 1659419921.0588
MEM 291.738281 1659419921.1591
MEM 163.929688 1659419921.2595
MEM 275.542969 1659419921.3599
MEM 291.742188 1659419921.4603
MEM 291.742188 1659419921.5608
MEM 163.929688 1659419921.6613
