CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 5.097656 1659347666.6827
MEM 20.226562 1659347666.7830
MEM 20.417969 1659347666.8833
MEM 20.417969 1659347666.9835
MEM 20.417969 1659347667.0838
MEM 84.406250 1659347667.1841
MEM 20.417969 1659347667.2845
MEM 20.417969 1659347667.3848
MEM 20.417969 1659347667.4852
MEM 20.417969 1659347667.5854
MEM 52.421875 1659347667.6858
MEM 20.417969 1659347667.7862
MEM 20.417969 1659347667.8865
MEM 20.417969 1659347667.9869
MEM 54.933594 1659347668.0872
MEM 20.417969 1659347668.1876
MEM 20.417969 1659347668.2879
MEM 20.417969 1659347668.3882
MEM 20.417969 1659347668.4885
MEM 84.421875 1659347668.5889
MEM 20.417969 1659347668.6892
MEM 20.417969 1659347668.7895
MEM 20.417969 1659347668.8897
MEM 84.421875 1659347668.9900
MEM 20.417969 1659347669.0904
MEM 20.417969 1659347669.1908
MEM 20.417969 1659347669.2911
MEM 20.417969 1659347669.3914
MEM 101.710938 1659347669.4917
MEM 20.417969 1659347669.5920
MEM 20.417969 1659347669.6923
MEM 20.417969 1659347669.7926
MEM 84.414062 1659347669.8929
MEM 20.417969 1659347669.9933
MEM 20.417969 1659347670.0936
MEM 20.417969 1659347670.1939
MEM 30.929688 1659347670.2943
MEM 20.417969 1659347670.3948
MEM 20.417969 1659347670.4951
MEM 20.417969 1659347670.5954
MEM 20.417969 1659347670.6958
MEM 84.421875 1659347670.7961
MEM 20.417969 1659347670.8964
MEM 20.417969 1659347670.9968
MEM 20.417969 1659347671.0971
MEM 84.421875 1659347671.1974
