CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.109375 1659345105.7927
MEM 30.609375 1659345105.8930
MEM 36.292969 1659345105.9933
MEM 36.292969 1659345106.0937
MEM 36.292969 1659345106.1940
MEM 80.562500 1659345106.2944
MEM 228.074219 1659345106.3947
MEM 164.222656 1659345106.4951
MEM 36.296875 1659345106.5954
MEM 36.296875 1659345106.6957
MEM 36.296875 1659345106.7960
MEM 228.101562 1659345106.8963
MEM 162.046875 1659345106.9968
MEM 36.300781 1659345107.0973
MEM 36.300781 1659345107.1976
MEM 36.300781 1659345107.2979
MEM 80.554688 1659345107.3983
MEM 228.121094 1659345107.4986
MEM 36.300781 1659345107.5989
MEM 36.300781 1659345107.6992
MEM 36.300781 1659345107.7994
MEM 36.300781 1659345107.8997
MEM 228.121094 1659345108.0000
MEM 164.242188 1659345108.1004
MEM 36.300781 1659345108.2007
MEM 36.300781 1659345108.3010
MEM 36.300781 1659345108.4013
MEM 120.496094 1659345108.5017
MEM 228.121094 1659345108.6020
MEM 36.300781 1659345108.7024
MEM 36.300781 1659345108.8027
MEM 36.300781 1659345108.9030
MEM 36.300781 1659345109.0032
MEM 228.121094 1659345109.1035
MEM 164.242188 1659345109.2040
MEM 36.300781 1659345109.3043
MEM 36.300781 1659345109.4046
MEM 36.300781 1659345109.5049
MEM 228.121094 1659345109.6052
MEM 286.593750 1659345109.7056
MEM 36.300781 1659345109.8061
MEM 36.300781 1659345109.9064
MEM 36.300781 1659345110.0066
MEM 66.554688 1659345110.1070
MEM 228.113281 1659345110.2073
MEM 36.300781 1659345110.3077
MEM 36.300781 1659345110.4080
MEM 36.300781 1659345110.5083
MEM 36.300781 1659345110.6086
MEM 228.113281 1659345110.7089
MEM 164.246094 1659345110.8092
MEM 36.304688 1659345110.9096
MEM 36.304688 1659345111.0100
MEM 36.304688 1659345111.1102
MEM 160.500000 1659345111.2106
MEM 228.125000 1659345111.3110
MEM 36.304688 1659345111.4113
