CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.117188 1659347180.1812
MEM 20.714844 1659347180.2816
MEM 20.714844 1659347180.3820
MEM 20.714844 1659347180.4823
MEM 20.714844 1659347180.5825
MEM 52.718750 1659347180.6828
MEM 20.714844 1659347180.7831
MEM 20.714844 1659347180.8835
MEM 20.714844 1659347180.9838
MEM 84.714844 1659347181.0843
MEM 20.714844 1659347181.1846
MEM 20.714844 1659347181.2850
MEM 20.714844 1659347181.3853
MEM 20.714844 1659347181.4857
MEM 52.718750 1659347181.5861
MEM 20.714844 1659347181.6864
MEM 20.714844 1659347181.7867
MEM 20.714844 1659347181.8870
MEM 84.718750 1659347181.9874
MEM 20.714844 1659347182.0878
MEM 20.714844 1659347182.1881
MEM 20.714844 1659347182.2884
MEM 55.218750 1659347182.3887
MEM 20.714844 1659347182.4891
MEM 20.714844 1659347182.5895
MEM 20.714844 1659347182.6898
MEM 20.714844 1659347182.7901
MEM 84.714844 1659347182.8904
MEM 20.714844 1659347182.9908
MEM 20.714844 1659347183.0912
MEM 20.714844 1659347183.1914
MEM 84.710938 1659347183.2917
MEM 20.714844 1659347183.3921
MEM 20.714844 1659347183.4924
MEM 20.714844 1659347183.5927
MEM 20.714844 1659347183.6930
MEM 52.718750 1659347183.7933
MEM 20.714844 1659347183.8937
MEM 20.714844 1659347183.9939
MEM 20.714844 1659347184.0942
MEM 84.718750 1659347184.1945
MEM 20.714844 1659347184.2948
MEM 20.714844 1659347184.3951
MEM 20.714844 1659347184.4954
MEM 84.718750 1659347184.5958
MEM 20.714844 1659347184.6961
MEM 20.714844 1659347184.7964
MEM 20.714844 1659347184.8967
MEM 20.714844 1659347184.9969
MEM 133.156250 1659347185.0973
MEM 148.652344 1659347185.1976
MEM 20.718750 1659347185.2980
MEM 20.718750 1659347185.3983
MEM 20.718750 1659347185.4986
MEM 20.718750 1659347185.5988
MEM 148.664062 1659347185.6992
MEM 84.726562 1659347185.7995
MEM 20.722656 1659347185.8999
MEM 20.722656 1659347186.0002
MEM 20.722656 1659347186.1005
MEM 148.660156 1659347186.2008
MEM 84.726562 1659347186.3012
MEM 20.722656 1659347186.4015
MEM 20.722656 1659347186.5019
MEM 20.722656 1659347186.6021
MEM 148.664062 1659347186.7025
MEM 153.179688 1659347186.8029
MEM 20.722656 1659347186.9034
MEM 20.722656 1659347187.0037
MEM 20.722656 1659347187.1040
MEM 20.722656 1659347187.2043
MEM 148.664062 1659347187.3047
MEM 84.726562 1659347187.4054
MEM 20.722656 1659347187.5058
MEM 20.722656 1659347187.6061
MEM 20.722656 1659347187.7064
MEM 148.664062 1659347187.8068
MEM 203.179688 1659347187.9071
