CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.105469 1659345624.9178
MEM 30.351562 1659345625.0181
MEM 35.527344 1659345625.1184
MEM 35.527344 1659345625.2187
MEM 35.527344 1659345625.3189
MEM 75.527344 1659345625.4194
MEM 175.593750 1659345625.5198
MEM 275.593750 1659345625.6201
MEM 377.593750 1659345625.7205
MEM 479.593750 1659345625.8209
MEM 581.593750 1659345625.9213
MEM 673.593750 1659345626.0216
MEM 765.593750 1659345626.1219
MEM 863.593750 1659345626.2223
MEM 959.593750 1659345626.3227
MEM 1049.593750 1659345626.4230
MEM 1433.601562 1659345626.5234
MEM 1857.601562 1659345626.6237
MEM 2381.605469 1659345626.7241
MEM 2953.605469 1659345626.8246
MEM 3107.492188 1659345626.9250
MEM 3107.492188 1659345627.0253
MEM 3107.492188 1659345627.1256
MEM 3107.492188 1659345627.2259
MEM 3107.492188 1659345627.3262
MEM 3107.492188 1659345627.4265
MEM 3107.492188 1659345627.5268
MEM 3107.492188 1659345627.6271
MEM 3107.492188 1659345627.7274
MEM 3107.492188 1659345627.8277
MEM 3107.492188 1659345627.9280
MEM 3107.492188 1659345628.0284
MEM 3107.492188 1659345628.1287
MEM 3107.492188 1659345628.2290
MEM 3107.492188 1659345628.3294
MEM 3107.492188 1659345628.4297
MEM 3107.492188 1659345628.5300
MEM 3247.617188 1659345628.6303
MEM 3699.617188 1659345628.7306
MEM 1059.535156 1659345628.8310
MEM 1655.480469 1659345628.9313
MEM 2083.480469 1659345629.0317
MEM 2083.480469 1659345629.1320
MEM 2083.480469 1659345629.2324
MEM 2083.480469 1659345629.3328
MEM 2083.480469 1659345629.4332
MEM 2083.480469 1659345629.5335
MEM 2083.480469 1659345629.6342
MEM 2083.480469 1659345629.7346
MEM 2083.480469 1659345629.8350
MEM 2083.480469 1659345629.9355
MEM 2083.480469 1659345630.0365
MEM 35.531250 1659345630.1369
MEM 35.531250 1659345630.2372
MEM 35.531250 1659345630.3376
MEM 151.601562 1659345630.4379
MEM 701.601562 1659345630.5383
MEM 1297.609375 1659345630.6387
MEM 1937.609375 1659345630.7391
