CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.167969 1659345236.6582
MEM 34.796875 1659345236.7585
MEM 40.195312 1659345236.8588
MEM 40.195312 1659345236.9591
MEM 40.195312 1659345237.0594
MEM 91.531250 1659345237.1598
MEM 253.656250 1659345237.2601
MEM 424.125000 1659345237.3604
MEM 424.125000 1659345237.4607
MEM 295.996094 1659345237.5611
MEM 40.199219 1659345237.6614
MEM 40.199219 1659345237.7617
MEM 40.199219 1659345237.8621
MEM 40.199219 1659345237.9624
MEM 424.144531 1659345238.0628
MEM 424.144531 1659345238.1631
MEM 168.207031 1659345238.2634
MEM 296.019531 1659345238.3638
MEM 40.203125 1659345238.4642
MEM 40.203125 1659345238.5645
MEM 40.203125 1659345238.6648
MEM 345.636719 1659345238.7653
MEM 424.164062 1659345238.8656
MEM 424.164062 1659345238.9659
MEM 296.019531 1659345239.0663
MEM 40.203125 1659345239.1666
MEM 40.203125 1659345239.2669
MEM 40.203125 1659345239.3671
MEM 157.656250 1659345239.4675
MEM 424.164062 1659345239.5679
MEM 424.164062 1659345239.6682
MEM 268.718750 1659345239.7686
MEM 40.203125 1659345239.8690
MEM 40.203125 1659345239.9693
MEM 40.203125 1659345240.0696
MEM 40.203125 1659345240.1700
MEM 424.164062 1659345240.2703
MEM 424.164062 1659345240.3706
MEM 184.718750 1659345240.4709
MEM 40.203125 1659345240.5712
MEM 40.203125 1659345240.6716
MEM 40.203125 1659345240.7719
MEM 40.203125 1659345240.8722
MEM 424.164062 1659345240.9725
MEM 424.164062 1659345241.0729
MEM 481.679688 1659345241.1732
MEM 296.019531 1659345241.2736
MEM 40.203125 1659345241.3740
MEM 40.203125 1659345241.4743
MEM 40.203125 1659345241.5746
MEM 424.164062 1659345241.6749
MEM 424.164062 1659345241.7753
MEM 424.164062 1659345241.8756
MEM 296.019531 1659345241.9761
MEM 40.203125 1659345242.0764
MEM 40.203125 1659345242.1767
MEM 40.203125 1659345242.2770
MEM 157.656250 1659345242.3774
MEM 424.156250 1659345242.4777
MEM 424.156250 1659345242.5780
MEM 296.019531 1659345242.6784
MEM 40.203125 1659345242.7788
MEM 40.203125 1659345242.8792
MEM 40.203125 1659345242.9794
MEM 43.488281 1659345243.0797
MEM 424.156250 1659345243.1800
MEM 424.156250 1659345243.2803
MEM 296.023438 1659345243.3807
MEM 40.207031 1659345243.4811
MEM 40.207031 1659345243.5815
MEM 40.207031 1659345243.6817
MEM 40.207031 1659345243.7819
MEM 424.167969 1659345243.8822
MEM 424.167969 1659345243.9825
MEM 529.683594 1659345244.0828
MEM 296.023438 1659345244.1832
