CMDLINE /usr/bin/python3 test_aes_ecdh.py
MEM 1.105469 1659418205.4828
MEM 36.035156 1659418205.5831
MEM 108.574219 1659418205.6835
MEM 196.667969 1659418205.7840
MEM 292.667969 1659418205.8843
MEM 806.257812 1659418205.9847
MEM 806.257812 1659418206.0851
MEM 806.257812 1659418206.1854
MEM 806.257812 1659418206.2857
MEM 1012.691406 1659418206.3861
MEM 550.191406 1659418206.4864
MEM 550.191406 1659418206.5868
MEM 190.667969 1659418206.6872
MEM 712.679688 1659418206.7876
MEM 806.343750 1659418206.8879
MEM 806.343750 1659418206.9882
MEM 806.343750 1659418207.0886
MEM 900.691406 1659418207.1889
MEM 550.199219 1659418207.2892
MEM 550.199219 1659418207.3895
MEM 152.671875 1659418207.4899
MEM 806.351562 1659418207.5902
MEM 806.351562 1659418207.6905
MEM 806.351562 1659418207.7908
MEM 806.351562 1659418207.8911
MEM 370.101562 1659418207.9918
MEM 550.203125 1659418208.0921
MEM 550.203125 1659418208.1924
MEM 440.679688 1659418208.2928
MEM 806.355469 1659418208.3932
MEM 806.355469 1659418208.4935
MEM 806.355469 1659418208.5938
MEM 892.613281 1659418208.6941
MEM 432.101562 1659418208.7945
MEM 550.203125 1659418208.8949
MEM 550.203125 1659418208.9952
MEM 220.671875 1659418209.0957
MEM 806.355469 1659418209.1960
MEM 806.355469 1659418209.2963
MEM 806.355469 1659418209.3966
MEM 806.355469 1659418209.4970
MEM 1040.695312 1659418209.5973
MEM 550.203125 1659418209.6977
MEM 58.632812 1659418209.7981
MEM 572.531250 1659418209.8986
MEM 806.355469 1659418209.9989
MEM 806.355469 1659418210.0992
MEM 806.355469 1659418210.1995
MEM 1016.695312 1659418210.2998
MEM 550.203125 1659418210.4002
MEM 50.632812 1659418210.5005
MEM 550.531250 1659418210.6009
MEM 806.355469 1659418210.7012
MEM 806.355469 1659418210.8015
MEM 806.355469 1659418210.9018
MEM 896.695312 1659418211.0022
MEM 550.203125 1659418211.1025
MEM 550.203125 1659418211.2028
MEM 76.632812 1659418211.3033
MEM 650.683594 1659418211.4038
MEM 806.355469 1659418211.5041
MEM 806.355469 1659418211.6044
MEM 806.355469 1659418211.7047
MEM 301.925781 1659418211.8051
MEM 550.203125 1659418211.9055
MEM 550.203125 1659418212.0058
MEM 214.671875 1659418212.1062
MEM 806.355469 1659418212.2065
MEM 806.355469 1659418212.3068
MEM 806.355469 1659418212.4071
MEM 806.355469 1659418212.5075
MEM 476.105469 1659418212.6079
MEM 550.207031 1659418212.7082
MEM 550.207031 1659418212.8086
MEM 446.683594 1659418212.9089
MEM 806.367188 1659418213.0092
MEM 806.367188 1659418213.1095
MEM 806.367188 1659418213.2098
MEM 806.367188 1659418213.3101
MEM 490.105469 1659418213.4104
MEM 550.207031 1659418213.5108
MEM 550.207031 1659418213.6111
