CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.113281 1659345366.6313
MEM 30.351562 1659345366.7316
MEM 35.832031 1659345366.8319
MEM 35.832031 1659345366.9322
MEM 35.832031 1659345367.0324
MEM 91.902344 1659345367.1328
MEM 180.000000 1659345367.2332
MEM 276.000000 1659345367.3336
MEM 692.011719 1659345367.4340
MEM 803.804688 1659345367.5343
MEM 803.804688 1659345367.6346
MEM 803.804688 1659345367.7350
MEM 803.804688 1659345367.8353
MEM 292.855469 1659345367.9356
MEM 547.683594 1659345368.0359
MEM 547.683594 1659345368.1363
MEM 35.835938 1659345368.2366
MEM 35.835938 1659345368.3369
MEM 35.835938 1659345368.4373
MEM 162.007812 1659345368.5377
MEM 803.804688 1659345368.6381
MEM 803.804688 1659345368.7384
MEM 803.804688 1659345368.8386
MEM 803.804688 1659345368.9390
MEM 807.804688 1659345369.0393
MEM 495.687500 1659345369.1399
MEM 547.687500 1659345369.2402
MEM 547.687500 1659345369.3405
MEM 35.839844 1659345369.4409
MEM 35.839844 1659345369.5412
MEM 35.839844 1659345369.6415
MEM 307.917969 1659345369.7418
MEM 803.824219 1659345369.8421
MEM 803.824219 1659345369.9424
MEM 803.824219 1659345370.0427
MEM 803.824219 1659345370.1429
MEM 301.644531 1659345370.2432
MEM 547.687500 1659345370.3437
MEM 547.687500 1659345370.4440
MEM 35.839844 1659345370.5445
MEM 35.839844 1659345370.6448
MEM 35.839844 1659345370.7452
MEM 35.839844 1659345370.8454
MEM 714.019531 1659345370.9458
MEM 803.824219 1659345371.0462
MEM 803.824219 1659345371.1465
MEM 803.824219 1659345371.2468
MEM 803.824219 1659345371.3471
MEM 307.644531 1659345371.4475
MEM 547.687500 1659345371.5479
MEM 547.687500 1659345371.6482
MEM 547.687500 1659345371.7491
MEM 35.839844 1659345371.8494
MEM 35.839844 1659345371.9497
MEM 35.839844 1659345372.0500
MEM 156.007812 1659345372.1504
MEM 803.824219 1659345372.2507
MEM 803.824219 1659345372.3510
MEM 803.824219 1659345372.4513
MEM 803.824219 1659345372.5515
MEM 902.031250 1659345372.6519
MEM 547.687500 1659345372.7522
MEM 547.687500 1659345372.8526
MEM 35.839844 1659345372.9534
MEM 35.839844 1659345373.0537
MEM 35.839844 1659345373.1540
MEM 35.839844 1659345373.2543
MEM 382.015625 1659345373.3546
MEM 803.824219 1659345373.4550
MEM 803.824219 1659345373.5553
MEM 803.824219 1659345373.6557
MEM 803.824219 1659345373.7561
MEM 946.031250 1659345373.8564
MEM 547.687500 1659345373.9568
MEM 547.687500 1659345374.0571
MEM 35.839844 1659345374.1574
MEM 35.839844 1659345374.2577
MEM 35.839844 1659345374.3580
MEM 291.660156 1659345374.4583
MEM 803.824219 1659345374.5586
MEM 803.824219 1659345374.6589
MEM 803.824219 1659345374.7592
MEM 803.824219 1659345374.8596
MEM 1034.031250 1659345374.9599
MEM 547.687500 1659345375.0603
MEM 35.839844 1659345375.1605
MEM 35.839844 1659345375.2609
MEM 35.839844 1659345375.3612
MEM 35.839844 1659345375.4615
MEM 398.015625 1659345375.5620
MEM 803.816406 1659345375.6624
MEM 803.816406 1659345375.7627
MEM 803.816406 1659345375.8630
MEM 803.816406 1659345375.9633
MEM 956.031250 1659345376.0637
MEM 547.687500 1659345376.1641
MEM 547.687500 1659345376.2644
MEM 35.839844 1659345376.3651
MEM 35.839844 1659345376.4655
MEM 35.839844 1659345376.5657
MEM 35.839844 1659345376.6660
MEM 378.019531 1659345376.7664
MEM 803.816406 1659345376.8668
MEM 803.816406 1659345376.9671
MEM 803.816406 1659345377.0674
MEM 803.816406 1659345377.1677
MEM 325.648438 1659345377.2680
MEM 547.691406 1659345377.3684
MEM 547.691406 1659345377.4688
MEM 35.843750 1659345377.5692
MEM 35.843750 1659345377.6695
MEM 35.843750 1659345377.7698
MEM 35.843750 1659345377.8700
MEM 803.828125 1659345377.9704
MEM 803.828125 1659345378.0707
MEM 803.828125 1659345378.1710
MEM 803.828125 1659345378.2713
MEM 803.828125 1659345378.3715
MEM 1042.035156 1659345378.4718
MEM 547.691406 1659345378.5722
MEM 35.843750 1659345378.6725
