CMDLINE /usr/bin/python3 test_usage_memory.py
MEM 1.167969 1659345821.3368
MEM 35.742188 1659345821.4370
MEM 41.082031 1659345821.5374
MEM 41.082031 1659345821.6377
MEM 41.082031 1659345821.7380
MEM 82.847656 1659345821.8384
MEM 176.847656 1659345821.9387
MEM 266.847656 1659345822.0390
MEM 360.847656 1659345822.1395
MEM 450.847656 1659345822.2400
MEM 548.847656 1659345822.3404
MEM 646.847656 1659345822.4408
MEM 744.847656 1659345822.5413
MEM 840.847656 1659345822.6416
MEM 938.847656 1659345822.7421
MEM 1034.847656 1659345822.8425
MEM 1134.847656 1659345822.9428
MEM 1232.847656 1659345823.0431
MEM 1330.847656 1659345823.1435
MEM 1430.847656 1659345823.2440
MEM 1532.847656 1659345823.3444
MEM 1624.847656 1659345823.4448
MEM 1716.847656 1659345823.5452
MEM 1808.847656 1659345823.6456
MEM 1898.847656 1659345823.7459
MEM 1986.847656 1659345823.8463
MEM 2078.847656 1659345823.9466
MEM 2468.855469 1659345824.0469
MEM 2922.855469 1659345824.1473
MEM 3378.855469 1659345824.2477
MEM 3832.855469 1659345824.3481
MEM 4283.128906 1659345824.4484
MEM 4529.597656 1659345824.5487
MEM 4752.089844 1659345824.6491
MEM 5039.933594 1659345824.7494
MEM 5351.171875 1659345824.8498
MEM 5661.378906 1659345824.9501
MEM 5964.109375 1659345825.0504
MEM 6184.921875 1659345825.1508
MEM 6184.921875 1659345825.2511
MEM 6184.921875 1659345825.3514
MEM 6184.921875 1659345825.4517
MEM 6184.921875 1659345825.5520
MEM 6184.921875 1659345825.6523
MEM 6184.921875 1659345825.7526
MEM 6184.921875 1659345825.8529
MEM 6184.921875 1659345825.9532
MEM 6184.921875 1659345826.0535
MEM 6184.921875 1659345826.1538
MEM 6184.921875 1659345826.2541
MEM 6184.921875 1659345826.3544
MEM 6184.921875 1659345826.4547
MEM 6184.921875 1659345826.5550
MEM 6184.921875 1659345826.6553
MEM 6184.921875 1659345826.7556
MEM 6184.921875 1659345826.8560
MEM 6184.921875 1659345826.9563
MEM 6184.921875 1659345827.0566
MEM 6184.921875 1659345827.1569
MEM 6184.921875 1659345827.2572
MEM 6184.921875 1659345827.3575
MEM 6184.921875 1659345827.4578
MEM 6184.921875 1659345827.5581
MEM 6184.921875 1659345827.6584
MEM 6184.921875 1659345827.7587
MEM 6184.921875 1659345827.8591
MEM 6184.921875 1659345827.9594
MEM 6184.921875 1659345828.0597
MEM 6184.921875 1659345828.1601
MEM 6184.921875 1659345828.2604
MEM 6184.921875 1659345828.3607
MEM 6184.921875 1659345828.4610
MEM 6413.593750 1659345828.5613
MEM 6666.250000 1659345828.6617
MEM 6922.699219 1659345828.7620
MEM 7177.417969 1659345828.8624
MEM 7430.847656 1659345828.9627
MEM 7681.441406 1659345829.0630
MEM 7936.417969 1659345829.1634
MEM 8192.683594 1659345829.2637
MEM 2223.332031 1659345829.3642
MEM 2859.332031 1659345829.4645
MEM 3549.332031 1659345829.5649
MEM 4137.000000 1659345829.6652
MEM 4137.000000 1659345829.7657
MEM 4137.000000 1659345829.8660
MEM 4137.000000 1659345829.9664
MEM 4137.000000 1659345830.0668
MEM 4137.000000 1659345830.1672
MEM 4137.000000 1659345830.2675
MEM 4137.000000 1659345830.3679
MEM 4137.000000 1659345830.4682
MEM 4137.000000 1659345830.5685
MEM 4137.000000 1659345830.6689
MEM 4137.000000 1659345830.7692
MEM 4137.000000 1659345830.8697
MEM 4137.000000 1659345830.9704
MEM 4137.000000 1659345831.0708
MEM 4137.000000 1659345831.1713
MEM 4137.000000 1659345831.2716
MEM 4137.000000 1659345831.3719
MEM 4137.000000 1659345831.4723
