CMDLINE /usr/bin/python3 test_aes_ecdh.py
MEM 1.105469 1659419999.2739
MEM 36.972656 1659419999.3742
MEM 108.015625 1659419999.4746
MEM 194.015625 1659419999.5750
MEM 282.015625 1659419999.6754
MEM 550.949219 1659419999.7757
MEM 550.949219 1659419999.8760
MEM 550.949219 1659419999.9764
MEM 550.949219 1659420000.0767
MEM 655.976562 1659420000.1771
MEM 295.171875 1659420000.2774
MEM 295.171875 1659420000.3777
MEM 107.933594 1659420000.4782
MEM 534.023438 1659420000.5785
MEM 550.984375 1659420000.6789
MEM 550.984375 1659420000.7792
MEM 550.984375 1659420000.8796
MEM 550.984375 1659420000.9800
MEM 752.339844 1659420001.0805
MEM 295.171875 1659420001.1809
MEM 192.015625 1659420001.2813
MEM 550.984375 1659420001.3816
MEM 550.984375 1659420001.4819
MEM 550.984375 1659420001.5823
MEM 550.984375 1659420001.6826
MEM 774.031250 1659420001.7829
MEM 295.171875 1659420001.8833
MEM 65.937500 1659420001.9837
MEM 394.015625 1659420002.0842
MEM 550.984375 1659420002.1845
MEM 550.984375 1659420002.2848
MEM 550.984375 1659420002.3852
MEM 700.031250 1659420002.4855
MEM 295.171875 1659420002.5860
MEM 295.171875 1659420002.6863
MEM 488.023438 1659420002.7869
MEM 550.984375 1659420002.8872
MEM 550.984375 1659420002.9875
MEM 550.984375 1659420003.0879
MEM 550.984375 1659420003.1882
MEM 295.171875 1659420003.2887
MEM 295.171875 1659420003.3890
MEM 332.019531 1659420003.4893
MEM 550.984375 1659420003.5897
MEM 550.984375 1659420003.6900
MEM 550.984375 1659420003.7903
MEM 550.984375 1659420003.8906
MEM 724.339844 1659420003.9910
MEM 295.171875 1659420004.0914
MEM 188.015625 1659420004.1919
MEM 550.984375 1659420004.2922
MEM 550.984375 1659420004.3926
MEM 550.984375 1659420004.4929
MEM 550.984375 1659420004.5933
MEM 636.339844 1659420004.6936
MEM 295.171875 1659420004.7940
MEM 125.937500 1659420004.8947
MEM 550.984375 1659420004.9950
MEM 550.984375 1659420005.0953
MEM 550.984375 1659420005.1957
MEM 550.984375 1659420005.2960
MEM 780.031250 1659420005.3964
MEM 295.171875 1659420005.4967
MEM 61.937500 1659420005.5972
MEM 534.023438 1659420005.6975
MEM 550.988281 1659420005.7978
MEM 550.988281 1659420005.8981
MEM 550.988281 1659420005.9985
MEM 608.019531 1659420006.0988
MEM 295.171875 1659420006.1992
MEM 295.171875 1659420006.2995
MEM 312.019531 1659420006.3999
MEM 550.992188 1659420006.5002
MEM 550.992188 1659420006.6006
MEM 550.992188 1659420006.7009
MEM 550.992188 1659420006.8013
MEM 774.339844 1659420006.9017
MEM 295.171875 1659420007.0020
